features.type,features.geometry,features.properties.NAME,features.properties.REFERENCE,features.properties.ASSETTYPE,features.properties.ASSETLOCATION,features.properties.CNTR_X,features.properties.CNTR_Y,lacd
"Feature","","Hebden Bridge Road Culvert 4","","Complex Culvert","Pecket Well",401093.016,432399.048,"E08000033"
"Feature","","Cross Lee Road Culvert 2","","Complex Culvert","Todmorden",392941.306,425858.601,"E08000033"
"Feature","","Windle Hill Lane Culvert","","Complex Culvert","Mytholmroyd",401467.011,424694.044,"E08000033"
"Feature","","Black Stone Edge Road Culvert 2","","Complex Culvert","Cragg Vale",399154.981,420572.066,"E08000033"
"Feature","","White Holme Reservoir Rd Culvert 2","","Complex Culvert","Warland",397668.009,418794.09,"E08000033"
"Feature","","Foxen Lane Culvert","","Complex Culvert","Mill Bank",403454.029,421160.972,"E08000033"
"Feature","","Warley Wood Lane Culvert","","Complex Culvert","Halifax",404855.987,424274.015,"E08000033"
"Feature","","Rectangular culvert in farmland","","Complex Culvert","Pecket Well",398575.933,430725.37,"E08000033"
"Feature","","Old Laithe Lane Culvert 2","","Complex Culvert","Hebden Bridge",400439.288,428470.119,"E08000033"
"Feature","","Laithe culvert","","Complex Culvert","Hebden Bridge",400617.981,428487.042,"E08000033"
"Feature","","Slack Lane Asset","","Complex Culvert","Booth",403167.982,427780.077,"E08000033"
"Feature","","Cow lane culvert","","Complex Culvert","Shackleton",398279.977,429531.963,"E08000033"
"Feature","","White Holme Reservoir Rd Culvert 1","","Complex Culvert","Warland",397702.485,418763.143,"E08000033"
"Feature","","NonMainRiver_RoadsNotMotorways","","Complex Culvert","Clough Foot",390813.967,425017.962,"E08000033"
"Feature","","Gough lane culvert","","Complex Culvert","Lighthazles",403037.014,421083.038,"E08000033"
"Feature","","Lighthazles road culvert","","Complex Culvert","Lighthazles",402583.027,421082.001,"E08000033"
"Feature","","Hill Top Lane Culvert","","Complex Culvert","Cragg Vale",399904.017,423335.942,"E08000033"
"Feature","","Haults Lane Culvert inlet","","Complex Culvert","Elland",409241.028,421419.066,"E08000033"
"Feature","","Haworth Old Road Culvert 1","","Complex Culvert","Pecket Well",399484.027,431262.005,"E08000033"
"Feature","","Blackstone Edge Road Culvert 6","","Complex Culvert","Cragg Vale",399036.981,420437.019,"E08000033"
"Feature","","White Holme Reservoir Rd Culvert 3","","Complex Culvert","Warland",397657.839,418804.887,"E08000033"
"Feature","","Soaper Lane Culvert","","Complex Culvert","Shelf - Soaper Lane",412730.99,429713.94,"E08000033"
"Feature","","Cooper Lane Culvert","","Complex Culvert","Shelf",412868.982,429491.022,"E08000033"
"Feature","","Small culvert/inlet","","Complex Culvert","Halifax",406217.995,424301.848,"E08000033"
"Feature","","Blackshaw Clough Culvert 2","","Complex Culvert","Lighthazles",402410.982,420660.021,"E08000033"
"Feature","","NonMainRiver_RoadsNotMotorways","","Complex Culvert","Cotton Stones",402908.984,421485.044,"E08000033"
"Feature","","Gorple Reservoir Vehicular bridge","","Complex Culvert","Colden - Lower Gorple Reservoir",394394.03,431668.986,"E08000033"
"Feature","","Elland Road Culvert","","Complex Culvert","Brighouse",413599.001,423415.032,"E08000033"
"Feature","","Old Pack Horse Road timber footbridge","","Complex Culvert","Ripponden",398131.91,417645.631,"E08000033"
"Feature","","Godly Lane Culvert","","Complex Culvert","Rishworth",403265.982,417953.967,"E08000033"
"Feature","","Oldham Road Culvert 2","","Complex Culvert","Rishworth",403437.976,418002.037,"E08000033"
"Feature","","Turvin Road Culvert","","Complex Culvert","Warland",397797.681,418721.376,"E08000033"
"Feature","","Oldham Road Culvert","","Complex Culvert","Rishworth",403442.02,418359.941,"E08000033"
"Feature","","Lee Bridge Industrial Estate Culvert","","Complex Culvert","Halifax",408586.003,425852.035,"E08000033"
"Feature","","Dam","","Complex Culvert","Cotton Stones",402955.339,421490.968,"E08000033"
"Feature","","Bacup road culvert no 4","0536/2","Complex Culvert","Clough Foot",390311.965,423784.967,"E08000033"
"Feature","","Toodmorden moor drain","0022/12","Complex Culvert","Clough Foot - Midgeleden Farm",390323.006,423919.015,"E08000033"
"Feature","","Todmorden moor culvert","0009/3","Complex Culvert","Clough Foot",390434.023,424267.037,"E08000033"
