features.type,features.geometry,features.properties.NAME,features.properties.REFERENCE,features.properties.ASSETTYPE,features.properties.ASSETLOCATION,features.properties.CNTR_X,features.properties.CNTR_Y,lacd
"Feature","","Stocks lane culvert - nothing here","98396","Complex Culvert","Booth",404730.165,427142.156,"E08000033"
"Feature","","Old Riding Lane Drain /Pipe","0602/8","Complex Culvert","Booth",404571.813,426986.91,"E08000033"
"Feature","","Cragg Road Culvert / Dropshaft","0612/4","Complex Culvert","Mytholmroyd",400790.444,424752.42,"E08000033"
"Feature","","Ogden Resevoir Culvert Inlet","0591/10","Complex Culvert","Ogden",406586.999,430630.803,"E08000033"
"Feature","","SOLVAY factory asset","0404/62","Complex Culvert","Holywell Green",409066.994,420062.703,"E08000033"
"Feature","","Cragg Road Vehicular bridge","0612/9","Complex Culvert","Mytholmroyd",400891.022,424711.047,"E08000033"
"Feature","","Culvert under farm yard","0517/16","Complex Culvert","Shackleton",397678.997,429775.002,"E08000033"
"Feature","","Twin culvert","0706/25","Complex Culvert","Shackleton",398310.976,429218.989,"E08000033"
"Feature","","Hardcastle Crags culvert under path","0293/3","Complex Culvert","Shackleton",398563.936,429184.52,"E08000033"
"Feature","","NonMainRiver_RoadsNotMotorways","0247/1","Complex Culvert","Todmorden - Dobroyd Road",393082.965,423600.988,"E08000033"
"Feature","","Widdop road Culvert Inlet","0639/2","Complex Culvert","Slack",396774.851,430392.286,"E08000033"
"Feature","","Wood Bottom Lane Culvert","0653/4","Complex Culvert","Brighouse",413221.379,423712.468,"E08000033"
"Feature","","Rosemary Lane Culvert","0437/10","Complex Culvert","Brighouse",414238.547,422205.3885,"E08000033"
"Feature","","Castlefields Drive","0437/13","Complex Culvert","Brighouse",413834.916,421743.641,"E08000033"
"Feature","","Culvert up from Cow Heys Lane","0440/7","Complex Culvert","Shackleton",397642.355,430871.966,"E08000033"
"Feature","","Goit Side damaged foot bridge","0503/59","Complex Culvert","Booth",404318.068,427274.395,"E08000033"
"Feature","","Kiln House Bridge","0444/16","Complex Culvert","Booth",404345.909,427340.063,"E08000033"
"Feature","","Crossley New Rd Culvert","0451/2","Complex Culvert","Upper Eastwood",395475.341,425923.568,"E08000033"
"Feature","","Lower Fold Farm Culvert","0492/14","Complex Culvert","Colden",395203.056,429517.736,"E08000033"
"Feature","","Bridge /Footbridge","98440","Complex Culvert","Wainstalls",404164.869,428478.881,"E08000033"
"Feature","","Bridge /Non-Vehicular","0261/44","Complex Culvert","Blackshaw Head",394691,427572.282,"E08000033"
"Feature","","Whitty Lane Culvert","0276/8","Complex Culvert","Warley Town",405857.583,424458.491,"E08000033"
"Feature","","Hays Lane Asset","98467","Complex Culvert","Upper Brockholes",406352.657,429456.899,"E08000033"
"Feature","","Culvert /Formed by spanning structure","0363/5","Complex Culvert","Lumbutts",395956.581,423182.983,"E08000033"
"Feature","","Incredible Farm Culvert 2","0363/9","Complex Culvert","Mankinholes",396110.047,423093.73,"E08000033"
"Feature","","Low Lane culvert 1","0364/12","Complex Culvert","Wainstalls",402716.774,428943.015,"E08000033"
"Feature","","Castle Carr Road Culvert 3","0364/23","Complex Culvert","Wainstalls",402942.735,429257.775,"E08000033"
"Feature","","Bing Road Pipe in Stream/Diagonal","0387/10","Complex Culvert","Mytholmroyd",400849.66,426493.643,"E08000033"
"Feature","","Raw Lane Culvert 2","0387/18","Complex Culvert","Mytholmroyd",401082.812,427038.967,"E08000033"
"Feature","","Bank House Lane Culvert","0164/11","Complex Culvert","Booth",404120.895,428004.983,"E08000033"
"Feature","","Bridge /Footbridge","0164/117","Complex Culvert","Wainstalls",404468.976,428701.777,"E08000033"
"Feature","","Lumb Lane Culvert","0164/134","Complex Culvert","Wainstalls",404698.902,429642.886,"E08000033"
"Feature","","Low Lane culvert 3","0164/138","Complex Culvert","Wainstalls",404840.887,429266.869,"E08000033"
"Feature","","Bridge /Pipe Supported","0164/19","Complex Culvert","Wainstalls",404125.007,428286.922,"E08000033"
"Feature","","Kell Lane Culvert","0164/98","Complex Culvert","Wainstalls",404360.84,428627.026,"E08000033"
"Feature","","Warland culvert under road 2","0201/6","Complex Culvert","Warland",394970.72,420314.368,"E08000033"
"Feature","","Warland stone culvert","0201/1","Complex Culvert","Warland",394899.046,420190.84,"E08000033"
"Feature","","Blackstone Edge Culvert 8","0202/4","Complex Culvert","Cragg Vale",399967.35,422209.382,"E08000033"
"Feature","","Cow Lane Culvert 3","0203/2","Complex Culvert","Shackleton",398354.609,429543.616,"E08000033"
"Feature","","Crimsworth Dene Culvert 1","0526/3","Complex Culvert","Shackleton",398672.839,430195.054,"E08000033"
"Feature","","Bridge /Footbridge","0212/3","Complex Culvert","Lumbutts",395370.395,423510.98,"E08000033"
"Feature","","Culvert under road.","0261/32","Complex Culvert","Blackshaw Head",394727.951,427529.737,"E08000033"
"Feature","","Midgehole Road Culvert","98523","Complex Culvert","Midgehole",399388.121,428715.937,"E08000033"
"Feature","","Hardcastle Craggs culvert 2","0292/1","Complex Culvert","Shackleton",398558.303,429094.405,"E08000033"
"Feature","","Plastic pipe culvert by footpath","0320/13","Complex Culvert","Colden",395348.568,429593.464,"E08000033"
"Feature","","Pipe in Stream/Transverse","98466","Complex Culvert","Halifax",406452.862,428824.982,"E08000033"
"Feature","","Cragg Road Asset","98596","Complex Culvert","Mytholmroyd",400501.989,424814.247,"E08000033"
"Feature","","Brookfoot Lane asset","98602","Complex Culvert","Brighouse",413326.53,423500.036,"E08000033"
"Feature","","Brookfoot Lane Footbridge","0653/130","Complex Culvert","Brighouse",413447.339,423473.342,"E08000033"
"Feature","","Red Beck Bridge","0653/32","Complex Culvert","Brighouse",412207.095,424723.007,"E08000033"
"Feature","","Saltonstall Lane Culvert","98615","Complex Culvert","Wainstalls",403837.284,428473.047,"E08000033"
"Feature","","Gaddings Dam stone footbridge","0700/1","Complex Culvert","Lumbutts",394592.619,422632.452,"E08000033"
"Feature","","Lady Royd Farm Culvert 2","0706/16","Complex Culvert","Shackleton",397822.299,430261.596,"E08000033"
"Feature","","Low Lane culvert 2","0487/5","Complex Culvert","Wainstalls",402514.952,429074.856,"E08000033"
"Feature","","Causeway wood road culvert 1","0507/28","Complex Culvert","Lumbutts",395393.469,423482.697,"E08000033"
"Feature","","Lee Dam Bridge / Vehicular","0507/38","Complex Culvert","Lumbutts",395735.034,423309.576,"E08000033"
"Feature","","Dark Lane Culvert","0516/2","Complex Culvert","Hebden Bridge",397596.838,427297.991,"E08000033"
"Feature","","Hardcastle Crags culvert / ford crossing","0574/8","Complex Culvert","Slack",397325.143,429472.694,"E08000033"
"Feature","","Slack Lane Culvert 2","0552/20","Complex Culvert","Booth",403104.709,427614.813,"E08000033"
"Feature","","Ogden Resevoir Access Bridge","0591/3","Complex Culvert","Ogden",406568.918,430647.022,"E08000033"
"Feature","","Pennine Way culvert 3","0264/2","Complex Culvert","Hebden Bridge",397971.022,426036.895,"E08000033"
"Feature","","Culvert off Eastwood Road","0763/15","Complex Culvert","Blackshaw Head",394734.149,427006.586,"E08000033"
"Feature","","Bridge /Non-Vehicular","0763/22","Complex Culvert","Blackshaw Head",395515.313,427001.069,"E08000033"
"Feature","","Culvert by Staups Lane","0763/23","Complex Culvert","Blackshaw Head",395640.984,426950.212,"E08000033"
"Feature","","Stubbs Lane culvert","0785/23","Complex Culvert","Mytholmroyd",400367.116,426286.427,"E08000033"
"Feature","","Stone footbridge","98574","Complex Culvert","Mytholmroyd",400348.382,426244.037,"E08000033"
"Feature","","Thornehills Beck Lane Culvert","98578","Complex Culvert","Brighouse",414858.218,423781.069,"E08000033"
"Feature","","Thornehills Beck Culvert","0809/9","Complex Culvert","Thornhills",415142.681,424038.316,"E08000033"
"Feature","","Rud Lane Culvert 8","0822/27","Complex Culvert","Cragg Vale",399191.617,422999.471,"E08000033"
"Feature","","Upper Birks Culvert 4","0824/7","Complex Culvert","Cragg Vale",401015.619,423919.239,"E08000033"
"Feature","","Kell Lane Culvert 2","0849/26","Complex Culvert","Wainstalls",404232.97,428645.492,"E08000033"
"Feature","","Plains Lane Culvert inlet","0892/8","Complex Culvert","Elland",410729.753,422126.906,"E08000033"
"Feature","","Upper Birks Culvert 5","0893/6","Complex Culvert","Cragg Vale",401015.388,424112.607,"E08000033"
"Feature","","Mankinholes culvert way up on the hill","0363/14","Complex Culvert","Mankinholes",396626.725,422996.525,"E08000033"
"Feature","","Raw Lane culvert 3","0386/4","Complex Culvert","Mytholmroyd",401222.813,426888.909,"E08000033"
"Feature","","Broad Carr Lane","0398/9","Complex Culvert","Holywell Green",409342.845,419763.508,"E08000033"
"Feature","","Plastic piped culvert","0440/8","Complex Culvert","Shackleton",397478.209,430926.126,"E08000033"
"Feature","","Bridge /Vehicular","0288/3","Complex Culvert","Mytholmroyd",401857.146,427132.983,"E08000033"
"Feature","","Rud Lane Culvert 3","0328/3","Complex Culvert","Cragg Vale",398568.358,423409.93,"E08000033"
"Feature","","Lee Mill Road Footbridge","0361/12","Complex Culvert","Hebden Bridge",399194.703,428251.244,"E08000033"
"Feature","","Billy Lane Culvert","98723","Complex Culvert","Hebden Bridge",400227.757,428398.908,"E08000033"
"Feature","","Cragg Lane Culvert","98724","Complex Culvert","Cragg Vale",400264.291,424556.556,"E08000033"
"Feature","","Upper Saltonstall Culvert","98738","Complex Culvert","Wainstalls",403666.98,428623.001,"E08000033"
"Feature","","Castle road culvert 2","0152/8","Complex Culvert","Wainstalls",403805.01,428763.178,"E08000033"
"Feature","","Broken wooden bridge","0171/5","Complex Culvert","Warland",395126.39,419925.128,"E08000033"
"Feature","","Wood Lane access Culvert","0180/1","Complex Culvert","Booth",403015.125,428079.16,"E08000033"
"Feature","","Pipe in field above Hardcastle Crags","0203/14","Complex Culvert","Shackleton",398339.718,429743.326,"E08000033"
"Feature","","Cow Lane Culvert 2","0203/11","Complex Culvert","Shackleton",398321.76,429670.46,"E08000033"
"Feature","","Non-vehicular bridge above Harcastle Crags","0203/18","Complex Culvert","Shackleton",398441.53,429993.632,"E08000033"
"Feature","","Culvert by Long Causeway","0221/12","Complex Culvert","Blackshaw Head",394391.622,427231.297,"E08000033"
"Feature","","Winters Lane Culvert 1","0222/29","Complex Culvert","Hebden Bridge",397038.103,427084.929,"E08000033"
"Feature","","Stone culvert","0240/5","Complex Culvert","Triangle",403872.396,422181.288,"E08000033"
"Feature","","Culvert inlet","0240/8","Complex Culvert","Triangle",403848.502,422171.034,"E08000033"
"Feature","","Broadhead Clough Road bridge","0253/1","Complex Culvert","Mytholmroyd",399982.579,424972.554,"E08000033"
"Feature","","Bridge /Footbridge","0261/13","Complex Culvert","Blackshaw Head",394426.237,427603.753,"E08000033"
"Feature","","Cragg Road Culvert 1","0045/1","Complex Culvert","Cragg Vale",400823.527,424590.654,"E08000033"
"Feature","","Bridge /Footbridge","98830","Complex Culvert","Wainstalls",404637.895,428852.242,"E08000033"
"Feature","","Warland Crossing / Ford","98831","Complex Culvert","Warland",395076.235,419971.466,"E08000033"
"Feature","","Wood Lane Culvert","0252/9","Complex Culvert","Booth",403047.038,428086.857,"E08000033"
"Feature","","Keighley Road Culvert","0187/1","Complex Culvert","Ogden",407014.603,430406.325,"E08000033"
"Feature","","Leadbitter dame culvert","98838","Complex Culvert","Wainstalls",404064.748,429370.4,"E08000033"
"Feature","","Bridge /Footbridge","0196/9","Complex Culvert","Wainstalls",403130.44,429555.833,"E08000033"
"Feature","","Warland stone culvert","0139/8","Complex Culvert","Warland",394832.724,420189.246,"E08000033"
"Feature","","Rud Lane Footbridge","98843","Complex Culvert","Cragg Vale",399589.276,422780.804,"E08000033"
"Feature","","Cow Lane Culvert 4","0203/1","Complex Culvert","Shackleton",398342.472,429525.709,"E08000033"
"Feature","","Culvert under dry stone wall","0203/9","Complex Culvert","Shackleton",398315.289,430459.43,"E08000033"
"Feature","","Beck Foot Culvert","98862","Complex Culvert","Cragg Vale",400867.678,424589.993,"E08000033"
"Feature","","Heights Road Culvert 5","0288/18","Complex Culvert","Mytholmroyd",401891.026,427193.187,"E08000033"
"Feature","","Hardcastle Crags culvert under path 2","0293/3","Complex Culvert","Shackleton",398564.067,429180.96,"E08000033"
"Feature","","Edge Lane Culvert 1","0320/1","Complex Culvert","Colden",395380.675,429464.262,"E08000033"
"Feature","","Bridge /Vehicular","0358/30","Complex Culvert","Halifax",406474.74,428736.896,"E08000033"
"Feature","","Sluice or Goit /Head Race - Take off","0358/41","Complex Culvert","Halifax",406439.905,428849.886,"E08000033"
"Feature","","Heights Road Culvert 6","0387/26","Complex Culvert","Mytholmroyd",401129.215,427199.301,"E08000033"
"Feature","","Redacre Wood Ford","0387/9","Complex Culvert","Mytholmroyd",400901.891,426588.444,"E08000033"
"Feature","","Pipe in Stream/Transverse","0412/1","Complex Culvert","Hebden Bridge",402126.729,428967.311,"E08000033"
"Feature","","Branch Road Culvert","0033/15","Complex Culvert","Barkisland",406523.581,419705.214,"E08000033"
"Feature","","Gate Head Lane asset","98779","Complex Culvert","Elland",407471.058,420496.858,"E08000033"
"Feature","","Marsh Lane Culvert 2","0072/11","Complex Culvert","Blackshaw Head",396534.854,427026.542,"E08000033"
"Feature","","Marsh Lane Culvert","0072/8","Complex Culvert","Blackshaw Head",396540.476,426961.45,"E08000033"
"Feature","","Ellistone Lane Culvert","0061/9","Complex Culvert","Elland",408282.895,420622.805,"E08000033"
"Feature","","Cragg Road Culvert 4","0792/1","Complex Culvert","Cragg Vale",400815.947,424521.561,"E08000033"
"Feature","","Ellistones Lane Bridge","0061/13","Complex Culvert","Elland",408174.23,420628.626,"E08000033"
"Feature","","Branch Road Asset","98804","Complex Culvert","Stainland",407193.665,420307.405,"E08000033"
"Feature","","Lee Dam Culvert","0063/18","Complex Culvert","Lumbutts",395669.461,422806.185,"E08000033"
"Feature","","Manorley Lane Culvert","0070/9","Complex Culvert","Low Bentley",413210.655,428817.313,"E08000033"
"Feature","","Widdop Road Culvert","0092/4","Complex Culvert","Slack",396869.063,429954.854,"E08000033"
"Feature","","Blackstone Edge Culvert 11","0124/2","Complex Culvert","Cragg Vale",400183.781,422818.498,"E08000033"
"Feature","","Warland Vehicular bridge 2","0139/5","Complex Culvert","Warland",394881.443,420161.932,"E08000033"
"Feature","","Warland vehicular bridge","0201/1","Complex Culvert","Warland",394874.733,420187.084,"E08000033"
"Feature","","Pennine Way Culvert","0141/6","Complex Culvert","Hebden Bridge",397568.913,426531.422,"E08000033"
"Feature","","Castle road culvert","0692/13","Complex Culvert","Wainstalls",403923.041,428755.929,"E08000033"
"Feature","","Lumb Lane Culvert 3","0164/81","Complex Culvert","Wainstalls",404698.758,428846.96,"E08000033"
"Feature","","Pipe in Stream/Transverse","98827","Complex Culvert","Booth",403908.486,427999.021,"E08000033"
"Feature","","Bridge /Footbridge","0164/6","Complex Culvert","Booth",403899.587,427912.676,"E08000033"
"Feature","","Bridge /Pipe Self Supporting","0164/114","Complex Culvert","Wainstalls",404463.704,428698.434,"E08000033"
"Feature","","Jerusalem Road Culvert","0434/2","Complex Culvert","Booth",403634.17,427792.308,"E08000033"
"Feature","","Midgehole Road Culvert 2","0449/1","Complex Culvert","Midgehole",399123.645,429010.811,"E08000033"
"Feature","","Mankinholes Upper Reservoir Culvert 1","0459/1","Complex Culvert","Lumbutts",395815.385,423186.893,"E08000033"
"Feature","","Stone culvert under footpath","0492/18","Complex Culvert","Colden",395226.503,429432.044,"E08000033"
"Feature","","Saltonstall Lane Culvert 2","0498/14","Complex Culvert","Wainstalls",404025.534,428245.115,"E08000033"
"Feature","","Hardcastle Crags Footbridge","98916","Complex Culvert","Slack",397404.705,429566.881,"E08000033"
"Feature","","Higher Mansfield House Culvert","98917","Complex Culvert","Shackleton",397704.924,429932.537,"E08000033"
"Feature","","Lumb Lane Culvert 2","0539/16","Complex Culvert","Wainstalls",404580.951,429725.993,"E08000033"
"Feature","","White Field Lane Culvert","0621/8","Complex Culvert","Mytholmroyd",400228.715,425737.69,"E08000033"
"Feature","","Bridge /Footbridge","98946","Complex Culvert","Hebden Bridge",396964.476,425803.472,"E08000033"
"Feature","","Bridge /Footbridge","0625/5","Complex Culvert","Hebden Bridge",396926.717,425964.936,"E08000033"
"Feature","","Bridge /Vehicular","0684/1","Complex Culvert","Shackleton",397321.991,431006.323,"E08000033"
"Feature","","Gaddings Dam Footbridge 2","0700/11","Complex Culvert","Lumbutts",394748.063,422485.741,"E08000033"
"Feature","","Bridge /Footbridge","0706/7","Complex Culvert","Shackleton",398366.142,429351.585,"E08000033"
"Feature","","Timber palette Footbridge","0725/12","Complex Culvert","Hebden Bridge",401703.931,429468.015,"E08000033"
"Feature","","Staups Lane culvert","0763/35","Complex Culvert","Blackshaw Head",395898.593,426697.858,"E08000033"
"Feature","","Staups Lane culvert 2","0763/1","Complex Culvert","Upper Eastwood",396065.108,426498.442,"E08000033"
"Feature","","Great Rock CO-OP culvert","0763/4","Complex Culvert","Blackshaw Head",396054.296,426582.453,"E08000033"
"Feature","","Cragg Road Culvert 6","0794/6","Complex Culvert","Cragg Vale",400817.283,424396.728,"E08000033"
"Feature","","Screen/Grille /US - With Overtop Facility","0804/9","Complex Culvert","Wainstalls",403453.225,428416.016,"E08000033"
"Feature","","Wadsworth Lane Culvert","0807/10","Complex Culvert","Hebden Bridge",399846.079,427248.594,"E08000033"
"Feature","","Church Bank Lane Culvert","0822/11","Complex Culvert","Cragg Vale",399793.61,422833.525,"E08000033"
"Feature","","Church Bank Culvert 2","0822/5","Complex Culvert","Cragg Vale",399862.533,422822.174,"E08000033"
"Feature","","Blackstone Edge Asset","99006","Complex Culvert","Cragg Vale",400212.641,422196.362,"E08000033"
"Feature","","Upper Birks culvert 6","0824/9","Complex Culvert","Cragg Vale",400964.263,423948.046,"E08000033"
"Feature","","Clough Lane road culvert","0552/17","Complex Culvert","Midgley",402776.088,427938.385,"E08000033"
"Feature","","Oaks Farm Lane Culvert","0588/7","Complex Culvert","Hebden Bridge",397216.747,425961.858,"E08000033"
"Feature","","Cragg Road Culvert 3","98942","Complex Culvert","Mytholmroyd",400861.456,424718.497,"E08000033"
"Feature","","Red Beck Bridge 2","99071","Complex Culvert","Brighouse",412233.759,424644.859,"E08000033"
"Feature","","Shibden Hall Road Pipe","0653/59","Complex Culvert","Brighouse",411340.602,425638.206,"E08000033"
"Feature","","Culvert /Formed by spanning structure","99085","Complex Culvert","Shackleton",398311.274,429133.322,"E08000033"
"Feature","","Stone slab footbridge","99090","Complex Culvert","Hebden Bridge",401700.558,429498.387,"E08000033"
"Feature","","Dark Lane Culvert 2","0516/5","Complex Culvert","Hebden Bridge",397452.05,427392.643,"E08000033"
"Feature","","Culvert under wall","99097","Complex Culvert","Slack",397450.125,429444.473,"E08000033"
"Feature","","Stone culvert under footpath","0573/9","Complex Culvert","Triangle",404093.021,422312.084,"E08000033"
"Feature","","Odgen Lane Culvert Inlet","0590/5","Complex Culvert","Ogden",406632.665,430636.763,"E08000033"
"Feature","","White Field Lane Culvert 2","0621/6","Complex Culvert","Mytholmroyd",400279.716,425786.312,"E08000033"
"Feature","","Cragg Road Culvert","0626/2","Complex Culvert","Mytholmroyd",400328.957,424936.955,"E08000033"
"Feature","","Lower mill lane culvert 2","0630/7","Complex Culvert","Midgehole",399140.96,428882.308,"E08000033"
"Feature","","Bings Road Culvert /Inlet","0387/12","Complex Culvert","Mytholmroyd",400821.827,426451.694,"E08000033"
"Feature","","Cragg Road Culvert Inlet","0405/1","Complex Culvert","Mytholmroyd",400640.192,425336.737,"E08000033"
"Feature","","Bridge /Non-Vehicular","0421/19","Complex Culvert","Hebden Bridge",400260.605,427913.258,"E08000033"
"Feature","","Screen/Grille /US - Enclosing","0848/5","Complex Culvert","Halifax",406363.091,423928.765,"E08000033"
"Feature","","Withen Clough Bridge 2","0881/30","Complex Culvert","Cragg Vale",398510.909,422971.492,"E08000033"
"Feature","","Wood Lane Culvert 2","0891/10","Complex Culvert","Booth",402803.785,428286.648,"E08000033"
"Feature","","Culvert off Eastwood Road 2","0763/20","Complex Culvert","Blackshaw Head",395214.683,427018.624,"E08000033"
"Feature","","Bridge /Footbridge","0763/27","Complex Culvert","Blackshaw Head",395763.459,426866.541,"E08000033"
"Feature","","Staups Lane culvert 3","0763/28","Complex Culvert","Blackshaw Head",395849.588,426777.231,"E08000033"
"Feature","","Culvert inlet in field","0763/34","Complex Culvert","Blackshaw Head",395922.563,426653.332,"E08000033"
"Feature","","Stone footbridge on field","0763/32","Complex Culvert","Blackshaw Head",395881.873,426736.48,"E08000033"
"Feature","","Stone culvert","0763/61","Complex Culvert","Blackshaw Head",394572.018,427062.296,"E08000033"
"Feature","","Eastwood Road Culvert","0763/66","Complex Culvert","Blackshaw Head",393725.11,426831.091,"E08000033"
"Feature","","Culvert in moorland","0763/75","Complex Culvert","Blackshaw Head",394610.595,427054.906,"E08000033"
"Feature","","Cragg Road Culvert 5","0792/2","Complex Culvert","Cragg Vale",400819.976,424495.416,"E08000033"
"Feature","","Rud Lane Culvert 5","0797/7","Complex Culvert","Cragg Vale",399319.149,423314.745,"E08000033"
"Feature","","Swine market lane culvert","0797/3","Complex Culvert","Cragg Vale",399328.95,423503.32,"E08000033"
"Feature","","Luddenden Brook Asset","99044","Complex Culvert","Booth",403132.561,428305.317,"E08000033"
"Feature","","Pipe in Stream/Diagonal","0804/15","Complex Culvert","Wainstalls",403511.424,428453.33,"E08000033"
"Feature","","Upper Saltonstall Culvert 2","0804/23","Complex Culvert","Wainstalls",403511.424,428453.33,"E08000033"
"Feature","","Apple Tree Farm Culvert","0817/8","Complex Culvert","Blackshaw Head",396044.867,427273.051,"E08000033"
"Feature","","Withens clough culvert","0822/22","Complex Culvert","Cragg Vale",398484.762,422960.598,"E08000033"
"Feature","","Rud Lane Clvert 7","0822/29","Complex Culvert","Cragg Vale",399436.597,422946.255,"E08000033"
"Feature","","Rud Lane Culvert 9","0822/8","Complex Culvert","Cragg Vale",398948.881,423025.443,"E08000033"
"Feature","","Royd View Culvert","0836/1","Complex Culvert","Mytholmroyd",401227.1,426318.93,"E08000033"
"Feature","","Bridge /Footbridge","0836/16","Complex Culvert","Mytholmroyd",401274.565,426733.493,"E08000033"
"Feature","","Bridge /Footbridge","0849/13","Complex Culvert","Wainstalls",404202.636,428952.42,"E08000033"
"Feature","","Bridge /Footbridge","0849/8","Complex Culvert","Wainstalls",404130.951,429278.559,"E08000033"
"Feature","","Stone culvert","0856/5","Complex Culvert","Colden",395530.264,429531.647,"E08000033"
"Feature","","Blackstone Edge Culvert 10","0874/7","Complex Culvert","Cragg Vale",400482.815,422343.787,"E08000033"
"Feature","","Haven Lane Culvert","0890/13","Complex Culvert","Mytholmroyd",399632.53,425693.76,"E08000033"
"Feature","","Hardcastle Crags Masonry culvert","0440/9","Complex Culvert","Shackleton",397500.089,430924.668,"E08000033"
"Feature","","Edge Lane Culvert 3","0492/10","Complex Culvert","Colden",395282.728,429548.805,"E08000033"
"Feature","","Edge Lane Culvert 2","0492/11","Complex Culvert","Colden",395277.647,429544.138,"E08000033"
"Feature","","Culvert under track in field","0261/20","Complex Culvert","Blackshaw Head",394213.38,427791.72,"E08000033"
"Feature","","Bridge /Footbridge","0358/47","Complex Culvert","Halifax",406460.407,428999.11,"E08000033"
"Feature","","Lee Bridge Culvert","99166","Complex Culvert","Halifax",408586.003,425852.035,"E08000033"
"Feature","","Warland culvert under track","0201/1","Complex Culvert","Warland",394895.489,420200.412,"E08000033"
"Feature","","Upper Saltonstall Culvert 3","99174","Complex Culvert","Wainstalls",403660.121,428537.33,"E08000033"
"Feature","","Drain /Pipe in field","0203/19","Complex Culvert","Shackleton",398446.837,430081.862,"E08000033"
"Feature","","Winters Lane footbridge","0222/10","Complex Culvert","Hebden Bridge",397093.272,426921.45,"E08000033"
"Feature","","Culvert under farm track","0003/5","Complex Culvert","Shackleton",398508.929,430434.103,"E08000033"
"Feature","","Howroyd Lane Asset 2","0033/13","Complex Culvert","Barkisland",406108.369,419706.672,"E08000033"
"Feature","","Stainland Bridge 2","0033/3","Complex Culvert","Barkisland",405922.819,419741.82,"E08000033"
"Feature","","Bridge /Footbridge","0036/2","Complex Culvert","Halifax",407652.499,428314.624,"E08000033"
"Feature","","Homefield Culvert 1","0036/8","Complex Culvert","Halifax",407694.865,428294.888,"E08000033"
"Feature","","Ford on public path","0059/63","Complex Culvert","Upper Eastwood",395113.928,426043.326,"E08000033"
"Feature","","Bridge /Non-Vehicular","0063/15","Complex Culvert","Lumbutts",395669.473,422954.718,"E08000033"
"Feature","","Nutclough wood dropshaft","99232","Complex Culvert","Hebden Bridge",399925.583,427732.575,"E08000033"
"Feature","","Old Laithe Lane Culvert","99233","Complex Culvert","Hebden Bridge",400426.892,428470.007,"E08000033"
"Feature","","Culvert beneath stone wall","0763/18","Complex Culvert","Blackshaw Head",395125.769,427018.83,"E08000033"
"Feature","","Rud Lane Culvert 2","0771/1","Complex Culvert","Cragg Vale",398686.285,423296.749,"E08000033"
"Feature","","Ford","0785/5","Complex Culvert","Mytholmroyd",400238.871,426203.979,"E08000033"
"Feature","","Wood Hey Lane Culvert","0890/17","Complex Culvert","Mytholmroyd",399880.832,426026.301,"E08000033"
"Feature","","Valve /Penstock","0164/9","Complex Culvert","Booth",404043.528,428019.27,"E08000033"
"Feature","","Bridge /Non-Vehicular","0164/15","Complex Culvert","Wainstalls",404802.666,429379.867,"E08000033"
"Feature","","Bridge /Pipe Supported","0164/56","Complex Culvert","Booth",404020.497,428037.943,"E08000033"
"Feature","","Bridge /Footbridge","0164/63","Complex Culvert","Wainstalls",404476.416,428712.686,"E08000033"
"Feature","","Laithe Culvert 2","0168/2","Complex Culvert","Hebden Bridge",400546.849,428299.008,"E08000033"
"Feature","","Sluice or Goit /Head Race - Take off","0192/34","Complex Culvert","Colden",395130.989,429323.002,"E08000033"
"Feature","","Church Bank Culvert 3","0822/3","Complex Culvert","Cragg Vale",399959.91,422786.571,"E08000033"
"Feature","","Upper Birks Culvert 3","0824/10","Complex Culvert","Cragg Vale",400964.263,423948.046,"E08000033"
"Feature","","Non-vehicular stone bridge","0856/8","Complex Culvert","Colden",395589.639,429506.112,"E08000033"
"Feature","","Blackstone Edge Culvert 7","99261","Complex Culvert","Cragg Vale",400286.79,422204.707,"E08000033"
"Feature","","Holly Bank Culvert Inlet","99263","Complex Culvert","Elland",410252.186,420327.91,"E08000033"
"Feature","","Goit Side Culvert 2","0879/7","Complex Culvert","Booth",404263.214,427399.625,"E08000033"
"Feature","","Snail Lane Culvert","0890/2","Complex Culvert","Mytholmroyd",399553.605,425597.304,"E08000033"
"Feature","","Stubbing Lane Culvert","99271","Complex Culvert","Triangle",404220.227,421503.466,"E08000033"
"Feature","","Lane Ends Lane Culvert","0421/27","Complex Culvert","Hebden Bridge",400363.153,427902.802,"E08000033"
"Feature","","Lee Side Farm Culvert","0473/6","Complex Culvert","Mankinholes",396627.359,424364.675,"E08000033"
"Feature","","Footbridge","0164/117","Complex Culvert","Wainstalls",404471.609,428706.118,"E08000033"
"Feature","","Hardcastle Craggs culvert 1","0706/20","Complex Culvert","Shackleton",398314.78,429164.472,"E08000033"
"Feature","","Ackroyd lane Culvert","0011/20","Complex Culvert","Pecket Well",399731.036,429344.045,"E08000033"
"Feature","","Culvert under track","0003/3","Complex Culvert","Pecket Well",398607.002,430421.052,"E08000033"
"Feature","","Dry Culvert on woodland track","0006/2","Complex Culvert","Pecket Well",398714.027,430575.009,"E08000033"
"Feature","","Hebden Bridge Road Culvert 5","0677/18","Complex Culvert","Pecket Well",401092.015,432462.021,"E08000033"
"Feature","","NonMainRiver_RoadsNotMotorways","0007/3","Complex Culvert","Pecket Well",398635.985,430562.015,"E08000033"
