type,features.type,features.geometry.type,features.geometry.coordinates.0,features.geometry.coordinates.1,features.properties.export_mpan_msid,features.properties.import_mpan_msid,features.properties.customer_name,features.properties.customer_site,features.properties.address_line_1,features.properties.address_line_2,features.properties.town_city,features.properties.county,features.properties.postcode,features.properties.country,features.properties.location_x_coordinate_eastings_where_data_is_held,features.properties.location_y_coordinate_northings_where_data_is_held,features.properties.grid_supply_point,features.properties.bulk_supply_point,features.properties.primary,features.properties.point_of_connection_poc_voltage_kv,features.properties.licence_area,features.properties.energy_source_1,features.properties.energy_conversion_technology_1,features.properties.chp_cogeneration_yes_no,features.properties.storage_capacity_1_mwh,features.properties.storage_duration_1_hours,features.properties.energy_source_energy_conversion_technology_1_registered_capacity_mw,features.properties.energy_source_2,features.properties.energy_conversion_technology_2,features.properties.chp_cogeneration_2_yes_no,features.properties.storage_capacity_2_mwh,features.properties.storage_duration_2_hours,features.properties.energy_source_energy_conversion_technology_2_registered_capacity_mw,features.properties.energy_source_3,features.properties.energy_conversion_technology_3,features.properties.chp_cogeneration_3_yes_no,features.properties.storage_capacity_3_mwh,features.properties.storage_duration_3_hours,features.properties.energy_source_energy_conversion_technology_3_registered_capacity_mw,features.properties.flexible_connection_yes_no,features.properties.connection_status,features.properties.already_connected_registered_capacity_mw,features.properties.maximum_export_capacity_mw,features.properties.maximum_export_capacity_mva,features.properties.maximum_import_capacity_mw,features.properties.maximum_import_capacity_mva,features.properties.date_connected,features.properties.accepted_to_connect_registered_capacity_mw,features.properties.change_to_maximum_export_capacity_mw,features.properties.change_to_maximum_export_capacity_mva,features.properties.change_to_maximum_import_capacity_mw,features.properties.change_to_maximum_import_capacity_mva,features.properties.date_accepted,features.properties.target_energisation_date,features.properties.distribution_service_provider_y_n,features.properties.transmission_service_provider_y_n,features.properties.reference,features.properties.in_a_connection_queue_y_n,features.properties.distribution_reinforcement_reference,features.properties.transmission_reinforcement_reference,features.properties.last_updated
"FeatureCollection","Feature","Point",-1.5477388677546411,54.926680804339412,"Data Not Available","Data Not Available","Usworth House PV","Usworth House PV","Usworth House Farm","Springwell","Gateshead","Tyne and Wear","NE9 7PZ","England",429082,559204,"West Boldon","West Boldon","Usworth House PV",66,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",28,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",28,27.4,28.842,"","","2022-03-01 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-0.91217916205188843,54.211335626086843,"Data Not Available","Data Not Available","Salton Lane Hybrid","Salton Lane Hybrid","Salton Lane","Ryedale","Nunnington","North Yorkshire","YO62 6RN","England",471043,480057,"Osbaldwick","Malton Grid","Salton Lane Hybrid",66,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",55,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",55,27.5,28.947,"","","2022-09-09 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.3309533632106678,54.129652692073208,"Data Not Available","Data Not Available","Brafferton Solar Farm","Brafferton Solar Farm","Brafferton Solar Farm","Boroughbridge Road","York","North Yorkshire","YO61 2QB","England",443818,470629,"Knaresborough","Brafferton Solar Farm","Brafferton Solar Farm Direct",132,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",50,"","","","","","","","","","","","","Yes","Accepted to Connect",,,,"","","",50,49.9,52.526,"","","2022-06-24 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.7300741860954485,54.98906540816116,"Data Not Available","Data Not Available","Blucher Solar","Blucher Solar","Off Queens Road","Walbottle","Newcastle Upon Tyne","Tyne and Wear","NE15 8HZ","England",417370,566086,"Stella North","Blucher","Blucher Solar",33,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",31.4,"","","","","","","","","","","","","Yes","Accepted to Connect",,,,"","","",31.4,31.4,33.053,"","","2022-12-02 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.4163252004319549,54.81639592661034,"Data Not Available","Data Not Available","Salters Lane Solar Farm","Salters Lane Solar Farm","Salters Lane Farm","Murton","Seaham","County Durham","SR7 9TN","England",437606,546994,"Hawthorn Pit Grid","Hawthorn Pit Grid","Salters Lane PV",66,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",111,"","","","","","","","","","","","","Yes","Accepted to Connect",,,,"","","",111,42,44.211,"","","2023-01-04 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.2322988705940423,54.144289351862319,"Data Not Available","Data Not Available","Village Farm Solar","Village Farm Solar","Land at Village Farm","Raskelf","York","North Yorkshire","YO61 3NQ","England",450247,472323,"Knaresborough","Village Farm Solar","Village Farm Solar Direct",132,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",30,"","","","","","","","","","","","","Yes","Accepted to Connect",,,,"","","",30,30,31.579,"","","2022-12-13 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.3342517066653126,54.54816623069793,"Data Not Available","Data Not Available","Yarm Road PV & BESS","Yarm Road PV & BESS","Yarm Road","Stockton on Tees","Stockton on Tees","County Durham","TS18 3RU","England",443163,517194,"Norton","Bowesfield","Bowesfield 33/11kV",11,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",6,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",6,6,6.316,"","","2023-06-05 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.5956925933089796,55.120789719035471,"Data Not Available","Data Not Available","Broadway House Farm PV","Broadway House Farm PV","Church Lane","Bedlington","Bedlington","Northumberland","NE22 5RS","England",425884,580786,"Blyth 66kV","Blyth 66kV","Broadway House PV",66,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",40,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",40,40,42.105,"","","2023-06-13 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.8006082125437488,54.839588396453088,"Data Not Available","Data Not Available","The Barn PV farm","The Barn PV farm","High Castledene Farm","Kinitsley","Consett","County Durham","DH8 7TN","England",412904,549437,"Stella South","Annfield","The Barn PV farm",66,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",49.5,"","","","","","","","","","","","","Yes","Accepted to Connect",,,,"","","",49.5,49.5,52.105,"","","2023-06-05 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.8108662025787168,55.06993105503647,"Data Not Available","Data Not Available","Milbourne PV Farm","Milbourne PV Farm","Milbourne","Ponteland","Ponteland","Northumberland","NE20 0EE","England",412176,575068,"Stella North","Blucher","Milbourne PV Farm",33,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",40,"","","","","","","","","","","","","Yes","Accepted to Connect",,,,"","","",40,40,42.105,"","","2023-06-07 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.5042496749626826,54.920409564009439,"Data Not Available","Data Not Available","SNOP PV","SNOP PV","SNOP","Rainhill Road","Washington","Tyne and Wear","NE37 3HP","England",431874,558525,"West Boldon","West Boldon","Usworth",11,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",1,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",1,0.999,1.052,"","","2023-02-02 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.5198922939921429,54.928757759461753,"Data Not Available","Data Not Available","Kasai Uk PV","Kasai Uk PV","Kasai Uk Ltd","Stephenson Road","Washington","Tyne and Wear","NE37 3HR","England",430865,559447,"West Boldon","West Boldon","Usworth",11,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",1.45,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",1.45,0.5,0.526,"","","2023-04-17 00:00:00","","","","","","","",2023-11-28 00:00:00.000
"FeatureCollection","Feature","Point",-1.4584284088632413,54.97962299773387,"Data Not Available","Data Not Available","West Side Tyne Dock PV","West Side Tyne Dock PV","West Side","Tyne Dock","South Shields","Tyne and Wear","NE34 9PL","England",434760,565136,"South Shields","South Shields","Simonside",11,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",3,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",3,0.999,1.052,"","","2023-05-11 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.4873957002678753,54.8703841198825,"Data Not Available","Data Not Available","Chester Road PV","Chester Road PV","Chester Road","Penshaw","Sunderland","Tyne and Wear","DH4 7EA","England",432995,552966,"Offerton","Offerton","Offerton 33/11kV",11,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",1.004,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",1.004,0.678,0.714,"","","2023-06-30 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.4059077430053775,54.696894493930778,"Data Not Available","Data Not Available","Trimdon East House Farm","Trimdon East House Farm","Trimdon East House Farm","Trimdon","Durham","County Durham","TS29 6NH","England",438388,533702,"Hartmoor","Hartmoor","Trimdon East House Farm",66,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",75,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",75,37.2,39.158,"","","2023-09-01 00:00:00","","","","","","","",2023-10-13 00:00:00.000
"FeatureCollection","Feature","Point",-1.5951363220958561,54.265408118552386,"Data Not Available","Data Not Available","Lords Moor Farm","Lords Moor Farm","Lord's Moor Farm","Bedale","Bedale","North Yorkshire","DL8 2PR","England",426468,485603,"Norton","Leeming Bar","Lords Moor Farm",33,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",30,"","","","","","","","","","","","","Yes","Accepted to Connect",,,,"","","",30,30,31.579,"","","2023-09-01 00:00:00","","","","","","","",2023-10-13 00:00:00.000
"FeatureCollection","Feature","Point",-1.4800819571079529,54.804167327702004,"Data Not Available","Data Not Available","Greenswell Hybrid","Greenswell Hybrid","North of High Moorsley Farm","High Moorsley","Houghton Le Spring","Tyne and Wear","DH5 0RJ","England",433519,545601,"Hawthorn Pit Grid","Hawthorn Pit Grid","Greenswell Hybrid",66,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",50.2,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",50.2,35,36.842,"","","2023-09-26 00:00:00","","","","","","","",2023-10-13 00:00:00.000
"FeatureCollection","Feature","Point",-0.65144591215833592,53.602395145097496,"Data Not Available","Data Not Available","Warren Lane Photovoltaic","Warren Lane Photovoltaic","Warren Solar Park","Normanby Road","Scunthorpe","Lincolnshire","DN15 9BF","England",489335,412604,"Keadby","Scunthorpe North","Warren Solar",33,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",38,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",38,38,40,"","","2014-10-01 00:00:00","","","","","","","",2023-09-11 00:00:00.000
"FeatureCollection","Feature","Point",-0.60948782267497192,53.549607595885192,"Data Not Available","Data Not Available","Sweeting Thorns (Sandy Vale Solar)","Sweeting Thorns (Sandy Vale Solar)","Sweeting Thorns","Holme","Scunthorpe","Lincolnshire","DN16 3RF","England",492226,406785,"Keadby","Scunthorpe South","Sweeting Thorns Solar",33,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",35,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",35,35,36.842,"","","2014-08-01 00:00:00","","","","","","","",2023-09-11 00:00:00.000
"FeatureCollection","Feature","Point",-1.4957273502877968,53.765171684731705,"Data Not Available","Data Not Available","Arla Foods","Arla Foods","Arla Foods","Leodis Way","Leeds","West Yorkshire","LS10 1NN","England",433339,429987,"Skelton Grange","Low Road","Stourton 33/11kV",11,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",1.529,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",1.529,1.529,1.609,"","","2015-07-14 00:00:00","","","","","","","",2023-09-11 00:00:00.000
"FeatureCollection","Feature","Point",-1.1424106742767914,53.522831469088437,"Data Not Available","Data Not Available","Wabtec Rail","Wabtec Rail","Doncaster House","Hexthorpe Road","Doncaster","South Yorkshire","DN4 0BF","England",456954,403249,"West Melton / Thorpe Marsh","Mallard Way","Belmont Avenue",11,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",3,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",3,3,3.158,"","","Data Not Available","","","","","","","",2023-09-11 00:00:00.000
"FeatureCollection","Feature","Point",-0.86574604120385568,53.700931830132468,"Data Not Available","Data Not Available","ABP, East Parade","ABP, East Parade","ABP","East Parade","Goole","East Yorkshire","DN14 5RB","England",474980,423319,"Camblesforth","Camblesforth","Goole",11,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",1.147,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",1.147,1.147,1.207,"","","2017-10-06 13:58:00","","","","","","","",2023-09-11 00:00:00.000
"FeatureCollection","Feature","Point",-0.44868394893157765,53.877582671423262,"Data Not Available","Data Not Available","PV at Normandy Barracks","PV at Normandy Barracks","DST Leconfield PV","Normandy Barracks","Beverley","East Yorkshire","HU17 7LX","England",502083,443491,"Creyke Beck","Beverley 132/33kV","Norwood",11,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",2.5,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",2.5,0.5,0.526,"","","2019-08-19 00:00:00","","","","","","","",2023-09-11 00:00:00.000
"FeatureCollection","Feature","Point",-0.74369918860425654,53.598140599132336,"Data Not Available","Data Not Available","Chapel Lane PV","Chapel Lane PV","Chapel Lane","Keadby","Scunthorpe","Lincolnshire","DN17 3EL","England",483239,412019,"Keadby","Chapel Lane PV","Chapel Lane PV Direct",132,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",49.9,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",49.9,49.9,52.526,"","","2020-09-21 00:00:00","","","","","","","",2023-09-11 00:00:00.000
"FeatureCollection","Feature","Point",-1.0222459353036821,53.467437336531283,"Data Not Available","Data Not Available","Bawtry Solar Farm","Bawtry Solar Farm","HIGH COMMON LANE","AUSTERFIELD","Doncaster","South Yorkshire","DN10 6HA","England",465005,397189,"West Melton / Thorpe Marsh","Doncaster B/Thorpe Marsh","Bawtry Solar",66,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",51,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",51,40,42.105,"","","2020-06-04 00:00:00","","","","","","","",2023-09-11 00:00:00.000
"FeatureCollection","Feature","Point",-1.5197137777495753,53.718388016152886,"Data Not Available","Data Not Available","Coca Cola Wakefield Solar","Coca Cola Wakefield Solar","Coca Cola Wakefield","Kenmore Road","Wakefield","West Yorkshire","WF2 0XR","England",431793,424771,"Skelton Grange","Wakefield North","Kenmore Road",11,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",2.775,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",2.775,2.775,2.921,"","","2021-02-10 00:00:00","","","","","","","",2023-09-11 00:00:00.000
"FeatureCollection","Feature","Point",-1.7435028858742054,53.669892441978853,"Data Not Available","Data Not Available","Buy It Direct PV","Buy It Direct PV","Neptune Way","Leeds Road","Huddersfield","West Yorkshire","HD2 1UA","England",417044,419299,"Elland","Brighouse 132/33kV","Deighton",11,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",1.2,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",1.2,1.2,1.263,"","","2021-06-29 00:00:00","","","","","","","",2023-09-11 00:00:00.000
"FeatureCollection","Feature","Point",-0.68125650998778664,53.435521616784712,"Data Not Available","Data Not Available","Bonsdale Farm PV","Bonsdale Farm PV","Bonsdale Farm","Blyton","Gainsborough","Lincolnshire","DN21 3PA","England",487706,394003,"Keadby","Blyton","Bonsdale Farm PV",33,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",49.99,"","","","","","","","","","","","","Yes","Accepted to Connect",,,,"","","",49.99,49.99,52.621,"","","2022-01-18 00:00:00","","","","","","","",2023-09-11 00:00:00.000
"FeatureCollection","Feature","Point",-0.27026585166404038,54.001466437101747,"Data Not Available","Data Not Available","Lissett Lane","Lissett Lane","Lissett Lane","Lissett","Driffield","Lincolnshire","YO25 8PX","England",513475,457544,"Creyke Beck","Driffield/Beverley Group","Lissett Windfarm",66,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",26,"","","","","","","","","","","","","Yes","Accepted to Connect",,,,"","","",26,26,27.368,"","","2022-03-01 00:00:00","","","","","","","",2023-09-11 00:00:00.000
