type,features.type,features.geometry.type,features.geometry.coordinates.0,features.geometry.coordinates.1,features.properties.export_mpan_msid,features.properties.import_mpan_msid,features.properties.customer_name,features.properties.customer_site,features.properties.address_line_1,features.properties.address_line_2,features.properties.town_city,features.properties.county,features.properties.postcode,features.properties.country,features.properties.location_x_coordinate_eastings_where_data_is_held,features.properties.location_y_coordinate_northings_where_data_is_held,features.properties.grid_supply_point,features.properties.bulk_supply_point,features.properties.primary,features.properties.point_of_connection_poc_voltage_kv,features.properties.licence_area,features.properties.energy_source_1,features.properties.energy_conversion_technology_1,features.properties.chp_cogeneration_yes_no,features.properties.storage_capacity_1_mwh,features.properties.storage_duration_1_hours,features.properties.energy_source_energy_conversion_technology_1_registered_capacity_mw,features.properties.energy_source_2,features.properties.energy_conversion_technology_2,features.properties.chp_cogeneration_2_yes_no,features.properties.storage_capacity_2_mwh,features.properties.storage_duration_2_hours,features.properties.energy_source_energy_conversion_technology_2_registered_capacity_mw,features.properties.energy_source_3,features.properties.energy_conversion_technology_3,features.properties.chp_cogeneration_3_yes_no,features.properties.storage_capacity_3_mwh,features.properties.storage_duration_3_hours,features.properties.energy_source_energy_conversion_technology_3_registered_capacity_mw,features.properties.flexible_connection_yes_no,features.properties.connection_status,features.properties.already_connected_registered_capacity_mw,features.properties.maximum_export_capacity_mw,features.properties.maximum_export_capacity_mva,features.properties.maximum_import_capacity_mw,features.properties.maximum_import_capacity_mva,features.properties.date_connected,features.properties.accepted_to_connect_registered_capacity_mw,features.properties.change_to_maximum_export_capacity_mw,features.properties.change_to_maximum_export_capacity_mva,features.properties.change_to_maximum_import_capacity_mw,features.properties.change_to_maximum_import_capacity_mva,features.properties.date_accepted,features.properties.target_energisation_date,features.properties.distribution_service_provider_y_n,features.properties.transmission_service_provider_y_n,features.properties.reference,features.properties.in_a_connection_queue_y_n,features.properties.distribution_reinforcement_reference,features.properties.transmission_reinforcement_reference,features.properties.last_updated
"FeatureCollection","Feature","Point",-1.318174179689416,54.724166161846554,"Data Not Available","Data Not Available","Hulam Farm PV","Hulam Farm PV","Hulam Farm","Castle Eden","Hartlepool","County Durham","TS27 4SA","England",444013,536788,"Hartmoor","Hartmoor","Hulam Farm PV",66,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",49.999,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",49.999,49.999,52.631,"","","2019-10-10 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.2909985776040647,54.702181393845464,"Data Not Available","Data Not Available","Sheraton Hall Solar PV","Sheraton Hall Solar PV","SOLAR PARK","SHERATON","Hartlepool","County Durham","TS274RD","England",445788,534359,"Hartmoor","Hartmoor","Sheraton Solar",66,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",42,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",42,40,42.105,"","","2020-12-15 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.7028611897529495,54.418063077729691,"Data Not Available","Data Not Available","Skeeby Ph2","Skeeby Ph2","Land south of Skeeby Substation","Skeeby","Skeeby Solar","North Yorkshire","DL10 5DP","England",419380,502554,"Norton","Skeeby","HESL Solar",33,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",39.33,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",39.33,39.33,41.4,"","","2021-01-25 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.0658392240071246,54.559207773645653,"Data Not Available","Data Not Available","Guisborough Estate 39.6MW Solar PV","Guisborough Estate 39.6MW Solar PV","GISBOROUGH ESTATE SOLAR PV FARM","OFF REDCAR ROAD","Guisborough","North Yorkshire","TS14 6RJ","England",460509,518620,"Lackenby","Lackenby","Guisborough Estate",66,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",39.6,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",39.6,39.6,41.684,"","","2020-05-05 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.5129707620143604,54.374416623366137,"Data Not Available","Data Not Available","Low Brockholme Farm","Low Brockholme Farm","Yafforth","Low Brockholme Farm","Chester Le Street","North Yorkshire","DL7 0AJ","England",431736,497766,"Norton","Low Brockholme","Low Brockholme Direct",132,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",26.4,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",26.4,26.4,27.789,"","","2021-07-01 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.6804904216109007,54.840742873764782,"Data Not Available","Data Not Available","Holmside Hall PV","Holmside Hall PV","Land lying to the North East of","Holmside Hall","Durham","County Durham","DH7 0DT","England",420618,549594,"Spennymoor GSP","Potter House","Holmside Hall",66,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",27,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",27,27,28.421,"","","2021-07-09 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.4637170135026591,54.548629345361114,"Data Not Available","Data Not Available","Norton Back Lane","Norton Back Lane","Land north of Norton Back Lane","Sadberge","Darlington","County Durham","DL2 1ST","England",434788,517174,"Norton","Norton Back Lane","Norton Back Lane Direct",132,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",50.19,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",50.19,49.9,52.526,"","","2021-06-29 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.5308237715892838,54.573091808314288,"Data Not Available","Data Not Available","Ketton Solar","Ketton Solar","KETTON FARM","CATHAM MUNDEVILLE","Darlington","County Durham","DL1 3LJ","England",430429,519865,"Norton","Ketton Solar","Ketton Solar Direct",132,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",52,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",52,49.9,52.526,"","","2021-07-20 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.0122308160166837,53.869304857983373,"Data Not Available","Data Not Available","Manor Farm Solar","Manor Farm Solar","Manor Farm Solar","Skipwith Road","Scarborough","North Yorkshire","YO19 6EQ","England",465049,441907,"Osbaldwick","Manor Farm","Manor Farm Direct",132,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",53.9,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",53.9,49.9,52.526,"","","2021-11-10 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.1941193096322116,53.972174492481344,"Data Not Available","Data Not Available","Hessay Solar PV","Hessay Solar PV","Land At","Shirbutt Lane","Hessay","North Yorkshire","YO26 8JT","England",452959,453201,"Poppleton","Poppleton","Hessay Solar",33,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",40,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",40,40,42.105,"","","2021-04-19 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.7218442355993857,55.004026875284907,"Data Not Available","Data Not Available","Dewley Hill SPV","Dewley Hill SPV","Land at Dewley Hill","North Walbottle Road","Newcastle Upon Tyne","Tyne and Wear","NE5 1QH","England",417890,567753,"Stella North","Blucher","Newcastle Airport",33,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",21.07,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",21.07,20.9,22,"","","2021-11-11 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.7130846689900907,54.905948492336634,"Data Not Available","Data Not Available","Crookgate Bank Farm","Crookgate Bank Farm","LOBLEYHILL ROAD","LOBLEYHILL ROAD","Newcastle Upon Tyne","Tyne and Wear","NE16 6DL","England",418495,556841,"Stella South","Crookgate Bank Farm","Crookgate Bank Farm Direct",132,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",48,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",48,45,47.368,"","","2021-04-06 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.7282674308112431,54.828224157806517,"Data Not Available","Data Not Available","Moor Leaze Solar PV","Moor Leaze Solar PV","LITTLE EPPLETON FARM","LITTLE EPPLETON FARM","HETTON","Tyne and Wear","DH7 0EG","England",417555,548188,"Stella South","Moor Leaze Solar","Moor Leaze Solar Direct",132,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",41.8,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",41.8,40,42.105,"","","2021-06-10 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.8996332505478339,54.896728832382792,"Data Not Available","Data Not Available","Highfield Lodge (Whittonstall) SPV & BESS","Highfield Lodge (Whittonstall) SPV & BESS","Land at  Highfield Lodge","Whittonstall","Consett","County Durham","DH8 9LQ","England",406535,555782,"Stella South","Coalburns","Highfield Lodge Hybrid",66,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",52.5,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",52.5,44.65,47,"","","2022-12-16 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.5350853623384282,54.078575528545244,"Data Not Available","Data Not Available","Fawcett PV","Fawcett PV","Land to the east of A61","Wormald Green","Harrogate","North Yorkshire","HG3 3NH","England",430516,464839,"Knaresborough","Wormald Green 132/33kV","Fawcett PV",33,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",24,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",24,17.2,18.105,"","","2022-02-10 00:00:00","","","","","","","",2023-11-14 00:00:00.000
"FeatureCollection","Feature","Point",-1.2333767698169089,53.972152649275522,"Data Not Available","Data Not Available","Poppleton Farm","Poppleton Farm","Long Marston","Hessay","York","North Yorkshire","YO26 8JW","England",450384,453170,"Poppleton","Poppleton","Poppleton Farm",33,"Northern Powergrid (Northeast) plc","Solar","Photovoltaic","No","","",30,"","","","","","","","","","","","","No","Accepted to Connect",,,,"","","",30,30,31.579,"","","2022-01-11 00:00:00","","","","","","","",2023-11-14 00:00:00.000
