licence_area,Biofuel - Biogas,Biomass,Demand,Electric Vehicles,Fossil - Gas,Fossil - Oil,Other,Solar,Stored Energy (all),Water,Wind,LongName
Eastern Power Networks Plc,0.0,0.0,776.46,1.56,36.0,0.0,0.0,533.1,603.44,0.0,1265.25,UKPN (East)
Electricity North West Limited,0.0,0.0,0.0,0.0,0.0,31.06,102.9,0.0,0.0,0.0,0.0,ENWL
London Power Networks Plc,0.0,0.0,14.41,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,UKPN (London)
National Grid Electricity Distribution (East Midlands) Plc,0.0,0.0,9.2,0.0,0.0,0.0,45.93,0.0,0.0,0.0,0.0,WPD (East Midlands)
National Grid Electricity Distribution (South Wales) Plc,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,WPD (South Wales)
National Grid Electricity Distribution (South West) Plc,0.0,0.0,0.0,0.0,105.6,0.0,0.14,0.0,728.0,0.0,0.0,WPD (South West)
National Grid Electricity Distribution (West Midlands) Plc,0.0,0.0,0.0,0.0,0.0,0.0,0.16,344.0,0.0,0.0,0.0,WPD (Midlands)
Northern Powergrid (Northeast) Limited,0.0,0.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NPG (Northern Electric)
Northern Powergrid (Yorkshire) Plc,12.6,0.0,6.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NPG (Yorkshire Electric)
SP Distribution plc,0.0,0.0,837.56,0.0,0.0,0.0,0.0,0.0,29.9,0.0,0.0,SSE
SP Manweb plc,0.0,0.0,723.83,0.0,352.91,0.0,0.0,0.0,52.18,2.3,0.0,SSE (Southern)
Scottish Hydro Electric Power Distribution Plc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.85,0.0,UKPN (South)
South Eastern Power Networks Plc,0.0,33.5,505.64,0.24,166.92,0.0,0.0,27.63,131.16,0.0,0.0,SPEN (SP Distribution)
Southern Electric Power Distribution Plc,0.0,0.0,108.08,0.0,78.0,0.0,0.0,0.0,20.7,0.0,0.0,SPEN (SP MANWEB)
