Licence Area,LongName,Licence area Flex
Eastern Power Networks plc,UKPN (East),Eastern Power Networks Plc
ELECTRICITY NORTH WEST LIMITED,ENWL,Electricity North West Limited
London Power Networks plc,UKPN (London),London Power Networks Plc
National Grid Electricity Distribution (East Midlands) Plc,WPD (East Midlands),National Grid Electricity Distribution (East Midlands) Plc
National Grid Electricity Distribution (South Wales) Plc,WPD (South Wales),National Grid Electricity Distribution (South Wales) Plc
National Grid Electricity Distribution (South West) Plc,WPD (South West),National Grid Electricity Distribution (South West) Plc
National Grid Electricity Distribution (West Midlands) Plc,WPD (Midlands),National Grid Electricity Distribution (West Midlands) Plc
Northern Powergrid (Northeast) plc,NPG (Northern Electric),Northern Powergrid (Northeast) Limited
Northern Powergrid (Yorkshire) plc,NPG (Yorkshire Electric),Northern Powergrid (Yorkshire) Plc
SCOTTISH HYDRO ELECTRIC POWER DISTRIBUTION PLC,SSE,Scottish Hydro Electric Power Distribution Plc
South Eastern Power Networks plc,SSE (Southern),Southern Electric Power Distribution Plc
SOUTHERN ELECTRIC POWER DISTRIBUTION PLC,UKPN (South),South Eastern Power Networks Plc
SP Distribution Ltd,SPEN (SP Distribution),SP Distribution plc
SP Manweb plc,SPEN (SP MANWEB),SP Manweb plc
