Unique Postal Districts,Customer Numbers,Number of PVs,Number of Heat Pumps,Number of Energy Storage,Number of EV Chargers,Total Number of LCTs,% Of Connections with LCT,% of Connections with PV,PV Band,% of Connections with Heatpumps,Heatpump Band,% of Connections with Energy Storage,Energy Storage Band,% of Connections with EV Chargers,EV Band,Geo Point,Geo Shape
NE66 2,2647,115,0,0,45,160,6.04,4.34,0%-25%,0,0%-25%,0,0%-25%,1.7,0%-25%,"55.42268560599856, -1.777337221630195","{""coordinates"":[[[[-1.60949,55.37577],[-1.61192,55.37968],[-1.61713,55.38634],[-1.61807,55.38694],[-1.61492,55.38925],[-1.61491,55.38925],[-1.61372,55.3893],[-1.61337,55.38978],[-1.61468,55.39019],[-1.61468,55.3902],[-1.61415,55.39107],[-1.61296,55.39005],[-1.61282,55.39005],[-1.61282,55.39006],[-1.61251,55.39009],[-1.61042,55.38965],[-1.60829,55.38997],[-1.60795,55.38999],[-1.6052,55.39021],[-1.6027,55.38863],[-1.60115,55.38782],[-1.60117,55.38778],[-1.60119,55.3877],[-1.60123,55.38737],[-1.60133,55.38699],[-1.60141,55.38694],[-1.60144,55.38685],[-1.60149,55.38678],[-1.60174,55.38671],[-1.60196,55.38662],[-1.60208,55.38653],[-1.60219,55.3864],[-1.60227,55.38624],[-1.60238,55.38591],[-1.60246,55.3858],[-1.60269,55.3856],[-1.603,55.38517],[-1.60308,55.38499],[-1.60338,55.38457],[-1.60347,55.38437],[-1.60364,55.38408],[-1.60375,55.38382],[-1.60389,55.38317],[-1.60376,55.38284],[-1.60378,55.3823],[-1.60377,55.38142],[-1.60371,55.3812],[-1.60368,55.38085],[-1.6037,55.38075],[-1.60373,55.3807],[-1.60386,55.38057],[-1.60397,55.38049],[-1.60404,55.38035],[-1.60405,55.38028],[-1.60401,55.38023],[-1.60376,55.38031],[-1.60371,55.3803],[-1.60367,55.38027],[-1.60366,55.38006],[-1.6036,55.37973],[-1.60369,55.37932],[-1.60373,55.37906],[-1.60373,55.37878],[-1.60376,55.37855],[-1.60384,55.37822],[-1.60407,55.3775],[-1.6041,55.37733],[-1.60411,55.37713],[-1.60407,55.37691],[-1.6039,55.37651],[-1.60379,55.37636],[-1.60365,55.37623],[-1.60748,55.37599],[-1.60949,55.37577]]],[[[-1.87477,55.3486],[-1.88469,55.3577],[-1.85401,55.36991],[-1.85383,55.37068],[-1.84354,55.37875],[-1.84363,55.3793],[-1.84382,55.38273],[-1.84322,55.38517],[-1.83882,55.38859],[-1.83539,55.39833],[-1.83226,55.40067],[-1.83747,55.40931],[-1.83783,55.40951],[-1.85019,55.41091],[-1.85103,55.4128],[-1.84723,55.42278],[-1.85517,55.43498],[-1.86257,55.432],[-1.86293,55.43218],[-1.87519,55.44552],[-1.87468,55.44783],[-1.8857,55.4635],[-1.8922,55.46184],[-1.90325,55.46718],[-1.90848,55.47987],[-1.88405,55.48292],[-1.88139,55.49128],[-1.86692,55.5073],[-1.86499,55.50849],[-1.85839,55.5018],[-1.84168,55.49485],[-1.83264,55.49678],[-1.81433,55.51881],[-1.79925,55.49369],[-1.79293,55.49374],[-1.77678,55.50473],[-1.76538,55.48067],[-1.7601,55.47966],[-1.74815,55.48896],[-1.74755,55.48965],[-1.74025,55.4891],[-1.73417,55.4846],[-1.73089,55.47808],[-1.72538,55.4797],[-1.72076,55.48496],[-1.71379,55.48622],[-1.71303,55.48747],[-1.71182,55.48856],[-1.71084,55.48838],[-1.6949,55.48702],[-1.69322,55.48622],[-1.69197,55.48138],[-1.69333,55.47593],[-1.69244,55.47456],[-1.69084,55.4573],[-1.69811,55.45087],[-1.69321,55.44088],[-1.69279,55.43832],[-1.68872,55.43396],[-1.69031,55.42245],[-1.69006,55.42228],[-1.68377,55.41378],[-1.681,55.41316],[-1.67899,55.41294],[-1.67783,55.40485],[-1.67807,55.4037],[-1.6725,55.39433],[-1.67081,55.39407],[-1.67073,55.394],[-1.65644,55.39835],[-1.65721,55.41194],[-1.64466,55.3996],[-1.6446,55.39873],[-1.64228,55.39775],[-1.64037,55.39728],[-1.63644,55.38711],[-1.63622,55.38524],[-1.63362,55.38581],[-1.63352,55.3858],[-1.62985,55.38551],[-1.62545,55.38696],[-1.62353,55.38685],[-1.62029,55.37349],[-1.62749,55.37207],[-1.6277,55.37197],[-1.64025,55.38055],[-1.64675,55.37346],[-1.65233,55.37273],[-1.65395,55.36526],[-1.65453,55.36387],[-1.66691,55.3606],[-1.66785,55.35971],[-1.67257,55.35612],[-1.67259,55.35613],[-1.67402,55.35674],[-1.6763,55.3576],[-1.67696,55.3578],[-1.67734,55.3579],[-1.67987,55.3585],[-1.68024,55.35857],[-1.68778,55.35642],[-1.69447,55.36168],[-1.69485,55.36168],[-1.70522,55.35529],[-1.71302,55.363],[-1.71315,55.36291],[-1.72389,55.36102],[-1.72658,55.36],[-1.73623,55.3614],[-1.73815,55.36209],[-1.73853,55.36168],[-1.75055,55.35444],[-1.75567,55.35807],[-1.77818,55.36232],[-1.78445,55.36728],[-1.78844,55.36672],[-1.79435,55.36172],[-1.80394,55.35803],[-1.80928,55.33997],[-1.80974,55.33929],[-1.83545,55.33182],[-1.83676,55.33005],[-1.84459,55.33131],[-1.86022,55.34629],[-1.87477,55.3486]],[[-1.69513,55.39958],[-1.69584,55.40048],[-1.69765,55.40163],[-1.69768,55.40164],[-1.69946,55.39983],[-1.69873,55.39789],[-1.69816,55.39782],[-1.69622,55.39758],[-1.69513,55.39958]],[[-1.72209,55.41037],[-1.72269,55.40965],[-1.72229,55.4093],[-1.71978,55.40816],[-1.71937,55.40535],[-1.71814,55.40726],[-1.71666,55.40798],[-1.71537,55.40752],[-1.71431,55.40567],[-1.71224,55.40643],[-1.71219,55.40654],[-1.71089,55.40797],[-1.70877,55.40775],[-1.70861,55.40624],[-1.70975,55.40479],[-1.71065,55.40484],[-1.71121,55.40177],[-1.71101,55.40148],[-1.7111,55.40072],[-1.71372,55.3926],[-1.70863,55.39127],[-1.70709,55.3908],[-1.70663,55.39114],[-1.70521,55.39399],[-1.7052,55.3958],[-1.70356,55.39973],[-1.70169,55.40152],[-1.70035,55.40135],[-1.69966,55.40249],[-1.69912,55.40287],[-1.69893,55.4029],[-1.69797,55.40255],[-1.69687,55.4028],[-1.69651,55.40334],[-1.69616,55.40364],[-1.6948,55.4036],[-1.69491,55.40497],[-1.69474,55.40548],[-1.69525,55.4065],[-1.69542,55.40653],[-1.69563,55.40667],[-1.6961,55.40773],[-1.69608,55.40796],[-1.69611,55.40803],[-1.69656,55.40841],[-1.69663,55.40854],[-1.69699,55.40869],[-1.69778,55.40855],[-1.69813,55.40888],[-1.69833,55.40919],[-1.69836,55.40942],[-1.69922,55.40951],[-1.69953,55.40999],[-1.69962,55.41145],[-1.69901,55.41214],[-1.69896,55.41234],[-1.69623,55.41178],[-1.69589,55.41188],[-1.69588,55.4119],[-1.69344,55.4182],[-1.69295,55.42093],[-1.6999,55.42009],[-1.70368,55.42231],[-1.70432,55.42236],[-1.70746,55.4237],[-1.70922,55.42337],[-1.71235,55.4236],[-1.71464,55.42169],[-1.71521,55.41975],[-1.71888,55.41692],[-1.71912,55.41687],[-1.72105,55.41694],[-1.72128,55.41701],[-1.72346,55.42323],[-1.72603,55.42667],[-1.72586,55.43067],[-1.73025,55.43267],[-1.73586,55.43302],[-1.74334,55.42832],[-1.75203,55.43482],[-1.75392,55.43947],[-1.7539,55.44186],[-1.75475,55.44345],[-1.77892,55.44098],[-1.7805,55.43869],[-1.78119,55.4271],[-1.7784,55.42352],[-1.77665,55.41974],[-1.77662,55.4197],[-1.76207,55.41707],[-1.7549,55.41263],[-1.74794,55.41354],[-1.74482,55.41475],[-1.74377,55.4154],[-1.73815,55.41452],[-1.73587,55.41478],[-1.73576,55.41482],[-1.72958,55.41284],[-1.72234,55.41577],[-1.72215,55.4136],[-1.72209,55.41037]]]],""type"":""MultiPolygon""}"
DL10 5,2011,89,2,0,34,125,6.22,4.43,25%-50%,0.1,0%-25%,0,0%-25%,1.69,0%-25%,"54.44559905767331, -1.7145838451084758","{""coordinates"":[[[[-1.76598,54.43916],[-1.76153,54.43874],[-1.75768,54.44404],[-1.76101,54.45311],[-1.7606,54.45625],[-1.76613,54.46418],[-1.7562,54.4696],[-1.7542,54.46984],[-1.75081,54.46525],[-1.74438,54.46313],[-1.73933,54.4638],[-1.73824,54.46425],[-1.73606,54.46677],[-1.73576,54.46933],[-1.73498,54.47032],[-1.73481,54.48656],[-1.73304,54.48825],[-1.73235,54.48861],[-1.72275,54.47659],[-1.7227,54.47658],[-1.71467,54.48117],[-1.71001,54.47936],[-1.70255,54.49022],[-1.69767,54.49136],[-1.6966,54.49042],[-1.69258,54.48653],[-1.6923,54.48622],[-1.69071,54.4842],[-1.6901,54.48327],[-1.68967,54.48312],[-1.68767,54.48159],[-1.68527,54.47874],[-1.68444,54.47784],[-1.67814,54.47849],[-1.67363,54.48164],[-1.66288,54.47869],[-1.66512,54.47313],[-1.66499,54.47272],[-1.66591,54.46811],[-1.66945,54.46367],[-1.66907,54.46134],[-1.68288,54.45739],[-1.68278,54.45625],[-1.68234,54.45528],[-1.68274,54.44972],[-1.67692,54.44444],[-1.67733,54.43895],[-1.68388,54.43798],[-1.68144,54.42975],[-1.68143,54.42974],[-1.67193,54.43401],[-1.67207,54.42675],[-1.66782,54.42679],[-1.66284,54.42998],[-1.66282,54.43],[-1.66259,54.42982],[-1.65609,54.42391],[-1.65484,54.41999],[-1.6646,54.41689],[-1.66768,54.41634],[-1.67002,54.41538],[-1.67351,54.41117],[-1.67894,54.40962],[-1.68008,54.41095],[-1.68209,54.41203],[-1.68471,54.41291],[-1.68499,54.41299],[-1.69147,54.41403],[-1.69456,54.41327],[-1.69666,54.41225],[-1.701,54.40828],[-1.70238,54.40889],[-1.70686,54.41732],[-1.71106,54.41339],[-1.71166,54.41237],[-1.71384,54.411],[-1.71391,54.41099],[-1.71423,54.4105],[-1.7153,54.4109],[-1.71584,54.41065],[-1.71664,54.41106],[-1.71716,54.41084],[-1.71731,54.41089],[-1.7179,54.41039],[-1.71906,54.4103],[-1.7191,54.4102],[-1.71997,54.40959],[-1.72002,54.40952],[-1.72039,54.40937],[-1.72062,54.40944],[-1.72165,54.40932],[-1.72216,54.40984],[-1.72244,54.40989],[-1.72296,54.40848],[-1.72368,54.40854],[-1.72466,54.40713],[-1.72527,54.40729],[-1.72557,54.4072],[-1.726,54.40728],[-1.72689,54.40823],[-1.72795,54.40782],[-1.72799,54.40778],[-1.72805,54.40754],[-1.72822,54.4074],[-1.72868,54.40734],[-1.72928,54.40753],[-1.72883,54.40865],[-1.72885,54.40875],[-1.72784,54.40886],[-1.72772,54.409],[-1.72843,54.40952],[-1.72808,54.41009],[-1.72812,54.41063],[-1.72774,54.41057],[-1.72717,54.40981],[-1.72643,54.41056],[-1.72599,54.41052],[-1.72575,54.4117],[-1.72682,54.41297],[-1.72736,54.41494],[-1.72784,54.41515],[-1.72836,54.41556],[-1.73116,54.41892],[-1.73139,54.41939],[-1.73518,54.41961],[-1.73528,54.41964],[-1.73889,54.41186],[-1.74192,54.41383],[-1.74238,54.41421],[-1.74358,54.41676],[-1.74511,54.41595],[-1.74612,54.41561],[-1.74852,54.4152],[-1.75316,54.41604],[-1.75568,54.42167],[-1.7605,54.42341],[-1.76248,54.42213],[-1.78114,54.42136],[-1.76598,54.43916]]]],""type"":""MultiPolygon""}"
NE46 1,2325,101,13,0,56,170,7.31,4.34,0%-25%,0.56,0%-25%,0,0%-25%,2.41,0%-25%,"54.94090332244183, -2.08228760772693","{""coordinates"":[[[[-2.11605,54.9342],[-2.11743,54.93557],[-2.11546,54.94432],[-2.1155,54.94499],[-2.113,54.94691],[-2.11209,54.95189],[-2.11098,54.95257],[-2.11082,54.95293],[-2.11071,54.95469],[-2.11081,54.95672],[-2.11268,54.9579],[-2.11309,54.96024],[-2.11174,54.96162],[-2.10855,54.96],[-2.10776,54.96084],[-2.10588,54.96139],[-2.1058,54.96158],[-2.10404,54.9625],[-2.1021,54.96242],[-2.10193,54.96275],[-2.10239,54.9635],[-2.1023,54.96354],[-2.10047,54.96368],[-2.10044,54.96368],[-2.10035,54.9638],[-2.10083,54.96527],[-2.1012,54.96533],[-2.10224,54.96655],[-2.10218,54.96665],[-2.10261,54.96786],[-2.10256,54.96794],[-2.1031,54.96854],[-2.10311,54.96866],[-2.10231,54.96897],[-2.10295,54.96945],[-2.10325,54.96924],[-2.10371,54.96958],[-2.10368,54.96987],[-2.10311,54.96983],[-2.1029,54.96974],[-2.10257,54.97002],[-2.10255,54.97027],[-2.10286,54.97068],[-2.10205,54.97086],[-2.10197,54.97082],[-2.10195,54.97084],[-2.10186,54.97111],[-2.10193,54.97141],[-2.10171,54.97148],[-2.10158,54.97158],[-2.10122,54.97149],[-2.10112,54.9715],[-2.10099,54.97191],[-2.1008,54.97201],[-2.10056,54.97163],[-2.10002,54.97155],[-2.09996,54.97164],[-2.09913,54.9718],[-2.09883,54.97163],[-2.09793,54.97186],[-2.09778,54.97197],[-2.09728,54.97186],[-2.09693,54.97197],[-2.09617,54.97242],[-2.09602,54.97274],[-2.09622,54.97406],[-2.09672,54.9748],[-2.09615,54.97712],[-2.09613,54.9774],[-2.09405,54.97645],[-2.09284,54.97613],[-2.0919,54.97623],[-2.09116,54.97567],[-2.09003,54.97403],[-2.08794,54.97406],[-2.08761,54.97395],[-2.08513,54.97414],[-2.08286,54.97477],[-2.08236,54.97505],[-2.08226,54.9751],[-2.07991,54.9755],[-2.0803,54.97307],[-2.08016,54.97063],[-2.0791,54.96781],[-2.07749,54.97062],[-2.07705,54.97248],[-2.07742,54.97504],[-2.07121,54.97551],[-2.06969,54.97587],[-2.06924,54.97568],[-2.06579,54.97546],[-2.05791,54.9787],[-2.05643,54.97843],[-2.0556,54.97735],[-2.05892,54.96179],[-2.06089,54.95675],[-2.05392,54.95333],[-2.04721,54.94519],[-2.0406,54.9431],[-2.03885,54.94102],[-2.04004,54.93477],[-2.05583,54.92276],[-2.05562,54.92188],[-2.05904,54.91499],[-2.06159,54.91535],[-2.06914,54.92125],[-2.07473,54.91523],[-2.07338,54.9114],[-2.07341,54.90829],[-2.0743,54.9048],[-2.08515,54.8916],[-2.0856,54.8908],[-2.09729,54.91173],[-2.09588,54.91292],[-2.09232,54.92053],[-2.09258,54.92087],[-2.09351,54.92137],[-2.0956,54.92201],[-2.09634,54.92303],[-2.09653,54.9243],[-2.09753,54.92528],[-2.09773,54.92588],[-2.10181,54.92579],[-2.1031,54.92686],[-2.11143,54.92291],[-2.11508,54.92689],[-2.11474,54.93078],[-2.11605,54.9342]],[[-2.09628,54.96086],[-2.09751,54.96192],[-2.10035,54.96211],[-2.10133,54.96023],[-2.1016,54.95918],[-2.09628,54.96086]]],[[[-2.11786,54.93573],[-2.13452,54.93066],[-2.13616,54.93395],[-2.13172,54.94499],[-2.12803,54.94545],[-2.11786,54.93573]]]],""type"":""MultiPolygon""}"
