type,features.type,features.geometry,features.properties.export_mpan_msid,features.properties.import_mpan_msid,features.properties.customer_name,features.properties.customer_site,features.properties.address_line_1,features.properties.address_line_2,features.properties.town_city,features.properties.county,features.properties.postcode,features.properties.country,features.properties.location_x_coordinate_eastings_where_data_is_held,features.properties.location_y_coordinate_northings_where_data_is_held,features.properties.grid_supply_point,features.properties.bulk_supply_point,features.properties.primary,features.properties.point_of_connection_poc_voltage_kv,features.properties.licence_area,features.properties.energy_source_1,features.properties.energy_conversion_technology_1,features.properties.chp_cogeneration_yes_no,features.properties.storage_capacity_1_mwh,features.properties.storage_duration_1_hours,features.properties.energy_source_energy_conversion_technology_1_registered_capacity_mw,features.properties.energy_source_2,features.properties.energy_conversion_technology_2,features.properties.chp_cogeneration_2_yes_no,features.properties.storage_capacity_2_mwh,features.properties.storage_duration_2_hours,features.properties.energy_source_energy_conversion_technology_2_registered_capacity_mw,features.properties.energy_source_3,features.properties.energy_conversion_technology_3,features.properties.chp_cogeneration_3_yes_no,features.properties.storage_capacity_3_mwh,features.properties.storage_duration_3_hours,features.properties.energy_source_energy_conversion_technology_3_registered_capacity_mw,features.properties.flexible_connection_yes_no,features.properties.connection_status,features.properties.already_connected_registered_capacity_mw,features.properties.maximum_export_capacity_mw,features.properties.maximum_export_capacity_mva,features.properties.maximum_import_capacity_mw,features.properties.maximum_import_capacity_mva,features.properties.date_connected,features.properties.accepted_to_connect_registered_capacity_mw,features.properties.change_to_maximum_export_capacity_mw,features.properties.change_to_maximum_export_capacity_mva,features.properties.change_to_maximum_import_capacity_mw,features.properties.change_to_maximum_import_capacity_mva,features.properties.date_accepted,features.properties.target_energisation_date,features.properties.distribution_service_provider_y_n,features.properties.transmission_service_provider_y_n,features.properties.reference,features.properties.in_a_connection_queue_y_n,features.properties.distribution_reinforcement_reference,features.properties.transmission_reinforcement_reference,features.properties.last_updated,features.properties.geopoint
"FeatureCollection","Feature","[Record]","2394000122166","Data Not Available","Knowle Spring Brewery, Queens Road, Keighley, BD21 1AW","Knowle Spring Brewery, Queens Road, Keighley, BD21 1AW","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",405672,440285,"Bradford West","Bingley 132/33kV","South Street",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.113,"","","","","","","","","","","","","No","Connected",0.119,0.113,0.119,"","",2016-08-22 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000123300","Data Not Available","Heaton Tennis and Squash Club, Crofton Road, Bradford","Heaton Tennis and Squash Club, Crofton Road, Bradford","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",414006,435463,"Bradford West","Girlington","Toller Lane",11,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.08,"","","","","","","","","","","","","No","Connected",0.084,0.08,0.084,"","",2000-01-01 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000105807","Data Not Available","Hurlings Barn","Hurlings Barn","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",406855,434291,"Bradford West","Holmfield","Denholme",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.086,"","","","","","","","","","","","","No","Connected",0.091,0.086,0.091,"","",2013-06-28 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000116056","Data Not Available","Skylark Moor West","Skylark Moor West","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",406855,434291,"Bradford West","Holmfield","Denholme",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.1,"","","","","","","","","","","","","No","Connected",0.105,0.1,0.105,"","",2014-09-10 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000123898","Data Not Available","New Close Farm, Craggs Lane, Thornton, Bradford, BD13 3SW","New Close Farm, Craggs Lane, Thornton, Bradford, BD13 3SW","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",407899,432214,"Bradford West","Holmfield","Denholme",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.094,"","","","","","","","","","","","","No","Connected",0.099,0.094,0.099,"","",2015-10-24 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000098451","Data Not Available","Soil Hill Farm","Soil Hill Farm","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",406979,428106,"Bradford West","Holmfield","Furness Avenue",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.076,"","","","","","","","","","","","","No","Connected",0.08,0.076,0.08,"","",2012-11-26 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000125789","Data Not Available","Wind Turbine Behind Laverock Farm, Ned Hill Road, Soil Hill, Halifax, HX2 9NT","Wind Turbine Behind Laverock Farm, Ned Hill Road, Soil Hill, Halifax, HX2 9NT","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",407940,431463,"Bradford West","Holmfield","Furness Avenue",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.08,"","","","","","","","","","","","","No","Connected",0.084,0.08,0.084,"","",2016-04-01 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000125060","Data Not Available","Parkinson Spencer Refractories Ltd, Holmfield, Halifax, HX3 6SX","Parkinson Spencer Refractories Ltd, Holmfield, Halifax, HX3 6SX","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",408869,429238,"Bradford West","Holmfield","Queensbury",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.3,"","","","","","","","","","","","","No","Connected",0.316,0.3,0.316,"","",2015-11-16 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000119873","Data Not Available","EZI Floor, Royd Ings Avenue, Keighley","EZI Floor, Royd Ings Avenue, Keighley","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",406649,442086,"Bradford West","Keighley","Keighley Direct",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.3,"","","","","","","","","","","","","No","Connected",0.316,0.06,0.063,"","",2015-03-05 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000109963","Data Not Available","Bremner Works","Bremner Works","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",420530,445905,"Bradford West","Menston","North Avenue",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.15,"","","","","","","","","","","","","No","Connected",0.158,0.184,0.194,"","",2014-08-24 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000096472","Data Not Available","Prospect House Farm","Prospect House Farm","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",423472,445203,"Bradford West","Menston","Pool",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.086,"","","","","","","","","","","","","No","Connected",0.091,0.09,0.095,"","",2012-10-19 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000109909","Data Not Available","Moorgate Farm","Moorgate Farm","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",404446,446729,"Bradford West","Silsden","Bolton Road",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.076,"","","","","","","","","","","","","No","Connected",0.08,0.076,0.08,"","",2014-05-24 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000120354","Data Not Available","Heights Farm, Heights Lane, Silsden, Keighley, BD20 9HW","Heights Farm, Heights Lane, Silsden, Keighley, BD20 9HW","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",402706,447997,"Bradford West","Silsden","Bolton Road",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.08,"","","","","","","","","","","","","No","Connected",0.084,0.08,0.084,"","",2015-08-01 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000060546","Data Not Available","Grimwith Reservoir","Grimwith Reservoir","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",398220,461207,"Bradford West","Silsden","Cracoe",11,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.238,"","","","","","","","","","","","","No","Connected",0.251,0.238,0.251,"","",2009-10-02 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000085790","Data Not Available","Goole Council Depot","Goole Council Depot","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",473609,423291,"Camblesforth","Camblesforth","Goole",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.09,"","","","","","","","","","","","","No","Connected",0.095,0.086,0.091,"","",2012-04-01 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000126611","Data Not Available","Throlam Farm, Drain Lane, Holme-on-Spalding-Moor, York, YO43 4DG","Throlam Farm, Drain Lane, Holme-on-Spalding-Moor, York, YO43 4DG","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",482070,435085,"Creyke Beck","Beverley 132/33kV","Holme Upon Spalding Moor",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.095,"","","","","","","","","","","","","No","Connected",0.1,0.095,0.1,"","",2015-12-31 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000101991","Data Not Available","Arglam Farm, Arglam Lane, Holme-on-Spalding-Moor, YO43 4HG","Arglam Farm, Arglam Lane, Holme-on-Spalding-Moor, YO43 4HG","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",478444,435986,"Creyke Beck","Beverley 132/33kV","Holme Upon Spalding Moor",11,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.475,"","","","","","","","","","","","","No","Connected",0.5,0.475,0.5,"","",2014-03-01 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000104334","Data Not Available","Spen Farm","Spen Farm","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",480351,439149,"Creyke Beck","Beverley 132/33kV","Holme Upon Spalding Moor",11,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.475,"","","","","","","","","","","","","No","Connected",0.5,0.546,0.575,"","",2013-06-26 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000121279","Data Not Available","Bursea Lodge Solar","Bursea Lodge Solar","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",480675,433871,"Creyke Beck","Beverley 132/33kV","Holme Upon Spalding Moor",11,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.19,"","","","","","","","","","","","","No","Connected",0.2,0.19,0.2,"","",2015-03-29 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
