type,features.type,features.geometry,features.properties.export_mpan_msid,features.properties.import_mpan_msid,features.properties.customer_name,features.properties.customer_site,features.properties.address_line_1,features.properties.address_line_2,features.properties.town_city,features.properties.county,features.properties.postcode,features.properties.country,features.properties.location_x_coordinate_eastings_where_data_is_held,features.properties.location_y_coordinate_northings_where_data_is_held,features.properties.grid_supply_point,features.properties.bulk_supply_point,features.properties.primary,features.properties.point_of_connection_poc_voltage_kv,features.properties.licence_area,features.properties.energy_source_1,features.properties.energy_conversion_technology_1,features.properties.chp_cogeneration_yes_no,features.properties.storage_capacity_1_mwh,features.properties.storage_duration_1_hours,features.properties.energy_source_energy_conversion_technology_1_registered_capacity_mw,features.properties.energy_source_2,features.properties.energy_conversion_technology_2,features.properties.chp_cogeneration_2_yes_no,features.properties.storage_capacity_2_mwh,features.properties.storage_duration_2_hours,features.properties.energy_source_energy_conversion_technology_2_registered_capacity_mw,features.properties.energy_source_3,features.properties.energy_conversion_technology_3,features.properties.chp_cogeneration_3_yes_no,features.properties.storage_capacity_3_mwh,features.properties.storage_duration_3_hours,features.properties.energy_source_energy_conversion_technology_3_registered_capacity_mw,features.properties.flexible_connection_yes_no,features.properties.connection_status,features.properties.already_connected_registered_capacity_mw,features.properties.maximum_export_capacity_mw,features.properties.maximum_export_capacity_mva,features.properties.maximum_import_capacity_mw,features.properties.maximum_import_capacity_mva,features.properties.date_connected,features.properties.accepted_to_connect_registered_capacity_mw,features.properties.change_to_maximum_export_capacity_mw,features.properties.change_to_maximum_export_capacity_mva,features.properties.change_to_maximum_import_capacity_mw,features.properties.change_to_maximum_import_capacity_mva,features.properties.date_accepted,features.properties.target_energisation_date,features.properties.distribution_service_provider_y_n,features.properties.transmission_service_provider_y_n,features.properties.reference,features.properties.in_a_connection_queue_y_n,features.properties.distribution_reinforcement_reference,features.properties.transmission_reinforcement_reference,features.properties.last_updated,features.properties.geopoint
"FeatureCollection","Feature","[Record]","2394000121288","Data Not Available","Forest Farm, Skiff Lane, Holme-on-Spalding-Moor, York, YO43 4AZ","Forest Farm, Skiff Lane, Holme-on-Spalding-Moor, York, YO43 4AZ","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",481659,437029,"Creyke Beck","Beverley 132/33kV","Holme Upon Spalding Moor",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.19,"","","","","","","","","","","","","No","Connected",0.2,0.19,0.2,"","",2015-03-29 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000121162","Data Not Available","Molescroft Grange Farm, Grange Way, Beverley, HU17 9FS","Molescroft Grange Farm, Grange Way, Beverley, HU17 9FS","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",503921,441523,"Creyke Beck","Beverley 132/33kV","Norwood",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.181,"","","","","","","","","","","","","No","Connected",0.191,0.181,0.191,"","",2015-04-02 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000102709","Data Not Available","Creme D'Or Ltd","Creme D'Or Ltd","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",503717,440538,"Creyke Beck","Beverley 132/33kV","Norwood",11,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.238,"","","","","","","","","","","","","No","Connected",0.251,0.238,0.251,"","",2013-09-01 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000111786","Data Not Available","Riverbank Farm","Riverbank Farm","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",503717,440538,"Creyke Beck","Beverley 132/33kV","Norwood",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.08,"","","","","","","","","","","","","No","Connected",0.084,0.08,0.084,"","",2014-03-16 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000091776","Data Not Available","Springers Lodge, Leconfield","Springers Lodge, Leconfield","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",503717,440538,"Creyke Beck","Beverley 132/33kV","Norwood",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.104,"","","","","","","","","","","","","No","Connected",0.109,0.104,0.109,"","",2012-02-21 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000119093","Data Not Available","Field House Farm, Etton Road, Cherry Burton, Beverley, HU17 7RP","Field House Farm, Etton Road, Cherry Burton, Beverley, HU17 7RP","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",498509,442362,"Creyke Beck","Beverley 132/33kV","Norwood",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.1,"","","","","","","","","","","","","No","Connected",0.105,0.1,0.105,"","",2016-04-26 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000117227","Data Not Available","Manor Farm, Wilfholme, Driffield, YO25 9BQ","Manor Farm, Wilfholme, Driffield, YO25 9BQ","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",505903,447292,"Creyke Beck","Beverley 132/33kV","Norwood",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.18,"","","","","","","","","","","","","No","Connected",0.189,0.18,0.189,"","",2015-08-01 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000092868","Data Not Available","Weighton Wold Farm","Weighton Wold Farm","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",489890,441213,"Creyke Beck","Beverley 132/33kV","Southgate",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.086,"","","","","","","","","","","","","No","Connected",0.091,0.086,0.091,"","",2012-03-22 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000124298","Data Not Available","28 Walkington Road, Little Weighton, Cottingham, HU20 3UT","28 Walkington Road, Little Weighton, Cottingham, HU20 3UT","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",498794,433996,"Creyke Beck","Beverley 132/33kV","Southwood Road",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.18,"","","","","","","","","","","","","No","Connected",0.189,0.18,0.189,"","",2015-11-09 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000118416","Data Not Available","Poplar Farm, Park Lane, Cottingham, North Humberside, HU16 5SA","Poplar Farm, Park Lane, Cottingham, North Humberside, HU16 5SA","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",503685,435685,"Creyke Beck","Beverley 132/33kV","Southwood Road",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.18,"","","","","","","","","","","","","No","Connected",0.189,0.18,0.189,"","",2015-05-07 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000125618","Data Not Available","Imerys Beverley","Imerys Beverley","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",502033,438095,"Creyke Beck","Beverley 132/33kV","Spark Mill Lane",11,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.238,"","","","","","","","","","","","","No","Connected",0.251,0,0,"","",2015-09-29 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000090684","Data Not Available","Greenwick Farm","Greenwick Farm","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",479337,454612,"Creyke Beck","Driffield/Beverley Group","Belthorpe Lane",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.073,"","","","","","","","","","","","","No","Connected",0.077,0.073,0.077,"","",2012-01-10 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000125352","Data Not Available","Manor Farm, Sproatley Road, Flinton, Hull, HU11 4NE","Manor Farm, Sproatley Road, Flinton, Hull, HU11 4NE","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",521757,436029,"Creyke Beck","Driffield/Beverley Group","Burton Pidsea",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.14,"","","","","","","","","","","","","No","Connected",0.147,0.14,0.147,"","",2016-05-16 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000088151","Data Not Available","Cat Babbleton Farm","Cat Babbleton Farm","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",498801,471698,"Creyke Beck","Driffield/Beverley Group","Butterwick",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.123,"","","","","","","","","","","","","No","Connected",0.129,0.123,0.129,"","",2012-03-26 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000095910","Data Not Available","Ravenhill Farm","Ravenhill Farm","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",498801,471698,"Creyke Beck","Driffield/Beverley Group","Butterwick",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.152,"","","","","","","","","","","","","No","Connected",0.16,0.152,0.16,"","",2012-09-25 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000109379","Data Not Available","Wold Farm","Wold Farm","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",498801,471698,"Creyke Beck","Driffield/Beverley Group","Butterwick",11,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.238,"","","","","","","","","","","","","No","Connected",0.251,0.214,0.225,"","",2014-08-14 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000118666","Data Not Available","Burton Fleming Grange (Wind)","Burton Fleming Grange (Wind)","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",498801,471698,"Creyke Beck","Driffield/Beverley Group","Butterwick",11,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.225,"","","","","","","","","","","","","No","Connected",0.237,0.225,0.237,"","",2014-12-08 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000118601","Data Not Available","Pear Tree Farm, Dukes Lane, Thwing, Driffield, YO25 3DT","Pear Tree Farm, Dukes Lane, Thwing, Driffield, YO25 3DT","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",505636,470672,"Creyke Beck","Driffield/Beverley Group","Butterwick",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.19,"","","","","","","","","","","","","No","Connected",0.2,0.19,0.2,"","",2015-04-19 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000124395","Data Not Available","Frontier Agriculture Solar Generation","Frontier Agriculture Solar Generation","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",502071,451914,"Creyke Beck","Driffield/Beverley Group","Driffield",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.181,"","","","","","","","","","","","","No","Connected",0.191,0.181,0.191,"","",2015-10-14 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000107850","Data Not Available","Cross Road Farm","Cross Road Farm","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",503896,457091,"Creyke Beck","Driffield/Beverley Group","Driffield",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.124,"","","","","","","","","","","","","No","Connected",0.131,0.047,0.049,"","",2014-01-01 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000086855","Data Not Available","Danesdale Farm","Danesdale Farm","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",503896,457091,"Creyke Beck","Driffield/Beverley Group","Driffield",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.171,"","","","","","","","","","","","","No","Connected",0.18,0.171,0.18,"","",2012-04-25 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000102675","Data Not Available","Far West Poultry Unit","Far West Poultry Unit","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",503896,457091,"Creyke Beck","Driffield/Beverley Group","Driffield",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.095,"","","","","","","","","","","","","No","Connected",0.1,0.095,0.1,"","",2013-09-19 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000095033","Data Not Available","Mount Pleasant Farm (Cross Road, North Frodingham)","Mount Pleasant Farm (Cross Road, North Frodingham)","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",503896,457091,"Creyke Beck","Driffield/Beverley Group","Driffield",11,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.689,"","","","","","","","","","","","","No","Connected",0.725,0.475,0.5,"","",2012-11-01 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000090754","Data Not Available","North Grange, North Dalton","North Grange, North Dalton","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",503896,457091,"Creyke Beck","Driffield/Beverley Group","Driffield",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.095,"","","","","","","","","","","","","No","Connected",0.1,0.13,0.137,"","",2012-06-11 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000107691","Data Not Available","The Beeches","The Beeches","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",503896,457091,"Creyke Beck","Driffield/Beverley Group","Driffield",11,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.5,"","","","","","","","","","","","","No","Connected",0.526,0.5,0.526,"","",2014-10-20 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
"FeatureCollection","Feature","[Record]","2394000120196","Data Not Available","Field House Farm, Scarborough Road, Driffield, YO25 5UY","Field House Farm, Scarborough Road, Driffield, YO25 5UY","Data Not Available","Data Not Available","Data Not Available","Data Not Available","Data Not Available","England",502069,459968,"Creyke Beck","Driffield/Beverley Group","Driffield",0.4,"Northern Powergrid (Yorkshire) plc","Solar","Photovoltaic","No","","",0.25,"","","","","","","","","","","","","No","Connected",0.263,0.25,0.263,"","",2016-06-01 00:00:00.000,,,,"","","Data Not Available","","","","","","","",2023-09-13 00:00:00.000,""
