Year,ENWL,NPG (Northern Electric),NPG (Yorkshire Electric),SPEN (SP Distribution),SPEN (SP MANWEB),SSE,SSE (Southern),UKPN (East),UKPN (London),UKPN (South),WPD (East Midlands),WPD (Midlands),WPD (South Wales),WPD (South West)
1997,9665,9616,9409,9629,9919,10006,12618,11572,13452,12954,10094,10012,9311,10669
1998,9835,9794,9625,9881,10065,10208,12893,11828,13928,13221,10298,10325,9369,10899
1999,10350,10160,10117,10339,10561,10384,13370,12367,14896,13769,10757,10725,9826,11256
2000,10931,10699,10706,11058,11137,11111,14238,13183,16206,14622,11333,11271,10500,11731
2001,11282,11118,10992,11511,11439,11676,14642,13731,16664,15073,11748,11628,10893,12145
2002,11546,11387,11262,11964,11851,12066,14988,14093,16799,15442,12055,11872,11207,12396
2003,11839,11664,11585,12344,12288,12300,15248,14387,17359,15721,12418,12105,11585,12670
2004,12240,12103,11970,12850,12774,13005,15748,14857,18408,16334,12863,12503,11987,13098
2005,12691,12459,12294,13296,13202,13580,16352,15495,19736,17076,13239,12854,12312,13591
2006,13139,12993,12674,13865,13617,14433,17103,16037,20978,17764,13698,13374,12754,14313
2007,13688,13413,13247,14600,14162,15270,17965,16852,22737,18674,14469,13772,13192,14898
2008,13911,13693,13414,15083,14496,16216,18373,17376,23549,19023,14695,14138,13725,15438
2009,14364,14259,13713,15231,14918,16462,18570,17664,23490,19221,14915,14409,13707,15605
2010,14506,14453,13817,15449,15079,16715,18684,17837,23433,19412,14978,14592,13906,15969
2011,14714,14681,14103,15750,15308,17219,18977,18009,23164,19634,15279,14828,14150,16264
2012,15179,15297,14509,16224,15851,17824,19746,18815,24628,20450,15791,15259,14612,16660
2013,15601,15615,14903,16695,16310,18563,20553,19469,26185,21260,16254,15784,14834,17155
2014,15959,15943,15279,17042,16690,18892,21085,20041,27239,21725,16708,16311,15202,17623
2015,16764,16657,15992,17682,17494,19380,22419,21360,29085,23075,17625,17204,15726,18471
2016,16823,16742,16017,17869,17525,19052,22561,21655,29508,23327,17686,17372,15753,18647
2017,17290,17135,16465,18254,18019,19341,23070,22171,29937,23743,18122,17607,16242,19135
2018,17981,17770,17157,18855,18748,20021,24124,23223,31663,24873,18791,18363,17016,19957
2019,18440,18178,17529,19287,19116,20567,24751,23683,32158,25369,19198,18746,17314,20469
2020,18608,18257,17659,19406,19234,20479,24545,23563,31770,25179,19269,18774,17502,20337
