Year,ENWL,NPG (Northern Electric),NPG (Yorkshire Electric),SPEN (SP Distribution),SPEN (SP MANWEB),SSE,SSE (Southern),UKPN (East),UKPN (London),UKPN (South),WPD (East Midlands),WPD (Midlands),WPD (South Wales),WPD (South West)
1997,71.84805233,71.48379423,69.94498959,71.58043414,73.7362474,74.38299138,93.80017841,86.02438299,100,96.29794826,75.03716919,74.42759441,69.21647339,79.31162652
1998,70.61315336,70.31878231,69.1053992,70.94342332,72.26450316,73.29121195,92.5689259,84.92245836,100,94.92389431,73.9373923,74.13124641,67.26737507,78.25244113
1999,69.48174006,68.20622986,67.91756176,69.40789474,70.89822771,69.70998926,89.7556391,83.02228786,100,92.43421053,72.21401719,71.99919441,65.96401719,75.56390977
2000,67.45032704,66.01875848,66.06195236,68.23398741,68.72146119,68.56102678,87.8563495,81.34641491,100,90.22584228,69.93088979,69.54831544,64.79081822,72.38677033
2001,67.70283245,66.71867499,65.96255401,69.07705233,68.6449832,70.06721075,87.86605857,82.39918387,100,90.4524724,70.49927988,69.77916467,65.36845895,72.88166107
2002,68.73028156,67.78379665,67.03970474,71.21852491,70.54586583,71.82570391,89.2195964,83.89189833,100,91.92213822,71.76022382,70.67087327,66.7123043,73.79010655
2003,68.20093323,67.19281065,66.73771531,71.11008699,70.78748776,70.85661616,87.83916124,82.87919811,100,90.56397258,71.53637882,69.73327957,66.73771531,72.98807535
2004,66.4928292,65.74858757,65.02607562,69.80660582,69.39374185,70.64863103,85.54976097,80.70947414,100,88.7331595,69.87722729,67.92155585,65.11842677,71.15384615
2005,64.3038103,63.12829347,62.2922578,67.36927442,66.89298743,68.80826915,82.85366842,78.51134982,100,86.52209161,67.0804621,65.1297122,62.38346169,68.86400486
2006,62.63228144,61.93631423,60.41567356,66.09304986,64.910859,68.8006483,81.52826771,76.44675374,100,84.67918772,65.29697779,63.75250262,60.79702546,68.22862046
2007,60.20143379,58.99195144,58.26186392,64.21251704,62.28614153,67.15925584,79.01218279,74.11707789,100,82.13044817,63.63636364,60.57087567,58.01996745,65.52315609
2008,59.07257208,58.14684275,56.96207907,64.04942885,61.556754,68.86067349,78.0202981,73.78657268,100,80.78050023,62.4018005,60.0365196,58.28272963,65.55692386
2009,61.14942529,60.70242656,58.37803321,64.8403576,63.50787569,70.08088548,79.05491699,75.19795658,100,81.82630907,63.4951043,61.34099617,58.35249042,66.43252448
2010,61.90415226,61.6779755,58.96385439,65.92839158,64.34942176,71.33102889,79.73370887,76.11914821,100,82.8404387,63.91840567,62.27115606,59.34366065,68.14748432
2011,63.52098083,63.37851839,60.88326714,67.99343809,66.08530478,74.33517527,81.92453808,77.74563979,100,84.76083578,65.96011052,64.01312381,61.08616819,70.21239855
2012,61.63310054,62.11222998,58.91261978,65.87623843,64.36170213,72.37290888,80.17703427,76.39678415,100,83.03556927,64.11807699,61.95793406,59.33084294,67.64658113
2013,59.57991216,59.63337789,56.91426389,63.75787665,62.28756922,70.89173191,78.49150277,74.35172809,100,81.19152186,62.07370632,60.27878556,56.65075425,65.5146076
2014,58.58878813,58.53004883,56.09236756,62.56470502,61.27244025,69.35643746,77.40739381,73.57465399,100,79.75696611,61.33852197,59.8810529,55.80968464,64.69767613
2015,57.63795771,57.27007048,54.98366856,60.79422383,60.14784253,66.63228468,77.08096957,73.43991748,100,79.33642771,60.59824652,59.150765,54.06910779,63.50696235
2016,57.01165786,56.73715603,54.2801952,60.55645927,59.39067372,64.56554155,76.45723194,73.38687813,100,79.05313813,59.93628846,58.87217026,53.38552257,63.1930324
2017,57.75461803,57.23686408,54.99883088,60.97471357,60.18973177,64.60567191,77.06182984,74.05885693,100,79.30988409,60.53378762,58.81350837,54.25393326,63.91756021
2018,56.78868079,56.12228784,54.1862742,59.54900041,59.21106654,63.23153207,76.18987462,73.34428197,100,78.55541168,59.34687174,57.99513628,53.74095948,63.0294034
2019,57.34187449,56.52714721,54.50898688,59.97574476,59.44399527,63.9560918,76.96685117,73.64574911,100,78.88861248,59.69898626,58.29342621,53.84041296,63.65134648
2020,58.57097891,57.46616305,55.58388417,61.0827825,60.54139125,64.46018256,77.25841989,74.16745357,100,79.25401322,60.65155807,59.09348442,55.08970727,64.01322002
