geography_code_LA22CD,workplace-2023-04,home-2022,public-2023-04,total
E06000047,378,535,240.0,1153.0
E06000005,103,105,73.0,281.0
E06000001,43,70,27.0,140.0
E06000002,86,98,58.0,242.0
E06000057,231,464,264.0,959.0
E06000003,42,109,58.0,209.0
E06000004,239,253,125.0,617.0
E08000037,156,158,118.0,432.0
E08000021,156,239,154.0,549.0
E08000022,133,241,50.0,424.0
E08000023,96,103,55.0,254.0
E08000024,181,234,170.0,585.0
E06000008,95,135,46.0,276.0
E06000009,65,59,30.0,154.0
E06000049,259,932,153.0,1344.0
E06000050,323,644,114.0,1081.0
E06000006,116,142,52.0,310.0
E06000007,291,400,124.0,815.0
E07000026,44,65,47.0,156.0
E07000027,19,31,24.0,74.0
E07000028,79,104,87.0,270.0
E07000029,14,50,30.0,94.0
E07000030,33,37,57.0,127.0
E07000031,89,126,160.0,375.0
E08000001,151,270,30.0,451.0
E08000002,133,271,29.0,433.0
E08000003,290,243,155.0,688.0
E08000004,140,175,56.0,371.0
E08000005,165,188,36.0,389.0
E08000006,220,219,105.0,544.0
E08000007,230,533,50.0,813.0
E08000008,134,212,30.0,376.0
E08000009,274,458,90.0,822.0
E08000010,178,372,47.0,597.0
E07000117,41,58,34.0,133.0
E07000118,86,214,46.0,346.0
E07000119,45,127,25.0,197.0
E07000120,84,51,29.0,164.0
E07000121,97,148,85.0,330.0
E07000122,59,76,19.0,154.0
E07000123,118,127,57.0,302.0
E07000124,35,158,34.0,227.0
E07000125,66,103,21.0,190.0
E07000126,113,174,57.0,344.0
E07000127,103,167,66.0,336.0
E07000128,41,128,47.0,216.0
E08000011,54,150,29.0,233.0
E08000012,179,288,257.0,724.0
E08000014,60,301,39.0,400.0
E08000013,132,201,33.0,366.0
E08000015,141,344,38.0,523.0
E06000011,222,534,123.0,879.0
E06000010,197,104,62.0,363.0
E06000012,130,95,31.0,256.0
E06000013,90,183,48.0,321.0
E06000014,153,253,154.0,560.0
E07000163,64,81,51.0,196.0
E07000164,108,129,53.0,290.0
E07000165,179,297,111.0,587.0
E07000166,64,62,43.0,169.0
E07000167,63,62,57.0,182.0
E07000168,31,52,33.0,116.0
E07000169,62,159,12.0,233.0
E08000016,190,292,62.0,544.0
E08000017,177,297,84.0,558.0
E08000018,189,303,86.0,578.0
E08000019,412,471,156.0,1039.0
E08000032,316,450,154.0,920.0
E08000033,225,220,74.0,519.0
E08000034,332,488,86.0,906.0
E08000035,806,948,415.0,2169.0
E08000036,310,418,112.0,840.0
E06000015,173,235,99.0,507.0
E06000016,156,142,114.0,412.0
E06000061,406,466,139.0,1011.0
E06000018,190,158,236.0,584.0
E06000017,50,81,19.0,150.0
E06000062,466,579,177.0,1222.0
E07000032,125,190,29.0,344.0
E07000033,76,106,45.0,227.0
E07000034,112,108,64.0,284.0
E07000035,57,125,46.0,228.0
E07000036,68,123,23.0,214.0
E07000037,46,128,28.0,202.0
E07000038,80,128,18.0,226.0
E07000039,54,224,34.0,312.0
E07000129,165,174,57.0,396.0
E07000130,117,287,42.0,446.0
E07000131,95,224,63.0,382.0
E07000132,83,184,46.0,313.0
E07000133,20,89,8.0,117.0
E07000134,243,219,35.0,497.0
E07000135,33,68,42.0,143.0
E07000136,89,45,38.0,172.0
E07000137,90,116,63.0,269.0
E07000138,71,68,74.0,213.0
E07000139,128,196,17.0,341.0
E07000140,78,95,33.0,206.0
E07000141,112,249,50.0,411.0
E07000142,54,144,25.0,223.0
E07000170,85,124,41.0,250.0
E07000171,67,155,51.0,273.0
E07000172,80,146,41.0,267.0
E07000173,49,134,50.0,233.0
E07000174,63,122,35.0,220.0
E07000175,114,189,50.0,353.0
E07000176,39,324,61.0,424.0
E06000019,185,216,86.0,487.0
E06000051,149,454,148.0,751.0
E06000021,167,151,51.0,369.0
E06000020,132,235,38.0,405.0
E07000192,69,101,42.0,212.0
E07000193,140,187,49.0,376.0
E07000194,114,235,24.0,373.0
E07000195,116,131,52.0,299.0
E07000196,63,196,58.0,317.0
E07000197,143,223,85.0,451.0
E07000198,23,125,10.0,158.0
E07000199,71,99,16.0,186.0
E07000218,110,100,47.0,257.0
E07000219,57,152,30.0,239.0
E07000220,100,212,79.0,391.0
E07000221,228,308,113.0,649.0
E07000222,192,356,92.0,640.0
E08000025,519,806,456.0,1781.0
E08000026,251,245,1092.0,1588.0
E08000027,176,319,117.0,612.0
E08000028,193,133,49.0,375.0
E08000029,249,426,135.0,810.0
E08000030,153,223,33.0,409.0
E08000031,162,155,56.0,373.0
E07000234,127,249,51.0,427.0
E07000235,57,126,23.0,206.0
E07000236,97,121,21.0,239.0
E07000237,53,120,30.0,203.0
E07000238,113,272,49.0,434.0
E07000239,39,121,25.0,185.0
E06000055,135,246,102.0,483.0
E06000056,155,494,90.0,739.0
E06000032,147,102,48.0,297.0
E06000031,308,171,75.0,554.0
E06000033,39,165,28.0,232.0
E06000034,119,131,56.0,306.0
E07000008,57,82,90.0,229.0
E07000009,74,148,22.0,244.0
E07000010,55,100,6.0,161.0
E07000011,290,336,56.0,682.0
E07000012,426,351,87.0,864.0
E07000066,149,168,64.0,381.0
E07000067,106,194,82.0,382.0
E07000068,46,125,7.0,178.0
E07000069,26,94,3.0,123.0
E07000070,110,317,44.0,471.0
E07000071,127,239,62.0,428.0
E07000072,100,215,39.0,354.0
E07000073,81,76,18.0,175.0
E07000074,53,101,14.0,168.0
E07000075,23,115,24.0,162.0
E07000076,44,112,37.0,193.0
E07000077,81,216,33.0,330.0
E07000095,45,106,45.0,196.0
E07000096,134,283,18.0,435.0
E07000242,84,282,73.0,439.0
E07000098,122,270,45.0,437.0
E07000099,154,237,37.0,428.0
E07000240,114,364,50.0,528.0
E07000243,94,54,19.0,167.0
E07000102,108,222,43.0,373.0
E07000103,75,91,61.0,227.0
E07000241,151,143,140.0,434.0
E07000143,112,141,62.0,315.0
E07000144,95,177,65.0,337.0
E07000145,45,61,49.0,155.0
E07000146,83,115,60.0,258.0
E07000147,48,109,99.0,256.0
E07000148,143,62,84.0,289.0
E07000149,65,269,44.0,378.0
E07000200,77,112,55.0,244.0
E07000244,232,241,106.0,579.0
E07000202,166,78,64.0,308.0
E07000203,141,171,31.0,343.0
E07000245,241,195,157.0,593.0
E06000036,138,200,58.0,396.0
E06000043,82,164,406.0,652.0
E06000060,477,1113,229.0,1819.0
E06000046,92,123,79.0,294.0
E06000035,134,207,106.0,447.0
E06000042,360,427,478.0,1265.0
E06000044,83,70,85.0,238.0
E06000038,95,111,116.0,322.0
E06000039,180,94,75.0,349.0
E06000045,106,89,90.0,285.0
E06000037,205,293,158.0,656.0
E06000040,108,253,103.0,464.0
E06000041,133,449,130.0,712.0
E07000061,20,57,32.0,109.0
E07000062,14,46,34.0,94.0
E07000063,51,103,42.0,196.0
E07000064,13,96,25.0,134.0
E07000065,113,270,32.0,415.0
E07000084,137,309,95.0,541.0
E07000085,117,264,41.0,422.0
E07000086,91,218,75.0,384.0
E07000087,71,194,21.0,286.0
E07000088,13,47,18.0,78.0
E07000089,64,251,52.0,367.0
E07000090,44,131,31.0,206.0
E07000091,106,220,104.0,430.0
E07000092,59,83,39.0,181.0
E07000093,108,210,52.0,370.0
E07000094,127,205,136.0,468.0
E07000105,55,152,51.0,258.0
E07000106,88,154,56.0,298.0
E07000107,137,126,84.0,347.0
E07000108,29,123,92.0,244.0
E07000112,53,101,129.0,283.0
E07000109,41,87,51.0,179.0
E07000110,146,250,69.0,465.0
E07000111,87,217,34.0,338.0
E07000113,115,142,65.0,322.0
E07000114,36,100,34.0,170.0
E07000115,135,207,58.0,400.0
E07000116,62,179,51.0,292.0
E07000177,230,278,174.0,682.0
E07000178,69,97,148.0,314.0
E07000179,90,293,84.0,467.0
E07000180,134,306,106.0,546.0
E07000181,125,203,85.0,413.0
E07000207,110,336,72.0,518.0
E07000208,18,146,20.0,184.0
E07000209,112,240,102.0,454.0
E07000210,67,162,49.0,278.0
E07000211,73,261,35.0,369.0
E07000212,118,135,58.0,311.0
E07000213,59,108,53.0,220.0
E07000214,85,205,33.0,323.0
E07000215,34,145,26.0,205.0
E07000216,62,237,51.0,350.0
E07000217,51,153,31.0,235.0
E07000223,45,63,14.0,122.0
E07000224,46,131,27.0,204.0
E07000225,63,168,65.0,296.0
E07000226,149,85,56.0,290.0
E07000227,95,248,55.0,398.0
E07000228,126,282,103.0,511.0
E07000229,44,108,25.0,177.0
E06000022,107,244,96.0,447.0
E06000058,168,319,124.0,611.0
E06000023,282,276,149.0,707.0
E06000052,358,439,365.0,1162.0
E06000059,193,382,156.0,731.0
E06000053,0,0,0.0,0.0
E06000024,185,348,98.0,631.0
E06000026,140,132,159.0,431.0
E06000025,320,447,184.0,951.0
E06000030,182,233,114.0,529.0
E06000027,36,77,29.0,142.0
E06000054,381,684,210.0,1275.0
E07000040,108,187,82.0,377.0
E07000041,135,80,124.0,339.0
E07000042,31,88,40.0,159.0
E07000043,53,92,70.0,215.0
E07000044,69,104,61.0,234.0
E07000045,72,146,47.0,265.0
E07000046,33,66,32.0,131.0
E07000047,9,46,30.0,85.0
E07000078,96,157,30.0,283.0
E07000079,137,186,90.0,413.0
E07000080,28,102,17.0,147.0
E07000081,112,125,59.0,296.0
E07000082,128,230,44.0,402.0
E07000083,133,157,28.0,318.0
E07000187,63,155,86.0,304.0
E07000188,66,117,56.0,239.0
E07000246,87,126,67.0,280.0
E07000189,92,163,77.0,332.0
S12000033,130,198,145.0,473.0
S12000034,149,457,150.0,756.0
S12000041,28,148,79.0,255.0
S12000035,36,46,111.0,193.0
S12000036,207,497,305.0,1009.0
S12000005,24,44,37.0,105.0
S12000006,64,119,174.0,357.0
S12000042,109,99,180.0,388.0
S12000008,28,130,87.0,245.0
S12000045,36,257,30.0,323.0
S12000010,40,188,173.0,401.0
S12000011,12,254,28.0,294.0
S12000014,88,225,80.0,393.0
S12000047,158,391,166.0,715.0
S12000049,368,262,361.0,991.0
S12000017,111,233,317.0,661.0
S12000018,5,43,35.0,83.0
S12000019,66,157,71.0,294.0
S12000020,29,100,76.0,205.0
S12000013,5,4,47.0,56.0
S12000021,18,100,67.0,185.0
S12000050,141,324,187.0,652.0
S12000023,23,55,51.0,129.0
S12000048,141,303,193.0,637.0
S12000038,124,230,119.0,473.0
S12000026,43,125,82.0,250.0
S12000027,4,16,30.0,50.0
S12000028,37,128,82.0,247.0
S12000029,160,463,196.0,819.0
S12000030,70,163,149.0,382.0
S12000039,21,56,46.0,123.0
S12000040,89,251,65.0,405.0
W06000019,17,22,69.0,108.0
W06000013,84,182,61.0,327.0
W06000018,57,125,55.0,237.0
W06000015,221,363,117.0,701.0
W06000010,55,189,110.0,354.0
W06000008,21,49,52.0,122.0
W06000003,35,120,54.0,209.0
W06000004,64,91,53.0,208.0
W06000005,150,245,46.0,441.0
W06000002,79,71,124.0,274.0
W06000001,53,66,68.0,187.0
W06000024,18,27,21.0,66.0
W06000021,46,142,67.0,255.0
W06000012,39,130,23.0,192.0
W06000022,74,172,121.0,367.0
W06000009,83,66,165.0,314.0
W06000023,92,100,125.0,317.0
W06000016,100,158,51.0,309.0
W06000011,111,237,121.0,469.0
W06000020,38,71,36.0,145.0
W06000014,21,196,55.0,272.0
W06000006,135,124,45.0,304.0
N09000001,90,137,39.0,266.0
N09000011,50,186,19.0,255.0
N09000002,76,143,39.0,258.0
N09000003,161,207,94.0,462.0
N09000004,49,104,35.0,188.0
N09000005,47,39,25.0,111.0
N09000006,27,48,35.0,110.0
N09000007,106,185,20.0,311.0
N09000008,57,107,27.0,191.0
N09000009,76,57,26.0,159.0
N09000010,70,101,30.0,201.0
